location,base_ts,ts,cloud,temp,temp_max,temp_min,humidity,ground_press,wind_speed,wind_dir,rain,snow
Gaigeturi,1709258400,1709366400,99.0,6.94,6.94,6.94,51.0,1022.0,6.53,275.0,0.0,0.0
Gaigeturi,1709258400,1709370000,98.0,6.95,6.95,6.95,52.0,1022.0,6.55,269.0,0.0,0.0
Gaigeturi,1709258400,1709373600,98.0,6.87,6.87,6.87,53.0,1022.0,6.6,264.0,0.0,0.0
Gaigeturi,1709258400,1709377200,97.0,6.96,6.96,6.96,53.0,1023.0,6.82,261.0,0.0,0.0
Gaigeturi,1709258400,1709380800,97.0,7.07,7.07,7.07,54.0,1023.0,7.08,260.0,0.0,0.0
Gaigeturi,1709258400,1709384400,97.0,7.15,7.15,7.15,54.0,1023.0,7.31,261.0,0.0,0.0
Gaigeturi,1709258400,1709388000,97.0,7.21,7.21,7.21,54.0,1023.0,7.23,262.0,0.0,0.0
Gaigeturi,1709258400,1709391600,97.0,7.25,7.25,7.25,55.0,1023.0,7.32,261.0,0.0,0.0
Gaigeturi,1709344800,1709391600,97.0,7.25,7.25,7.25,55.0,1022.0,7.75,259.0,0.0,0.0
Gaigeturi,1709344800,1709395200,98.0,7.38,7.38,7.38,56.0,1022.0,8.13,259.0,0.0,0.0
Gaigeturi,1709344800,1709398800,98.0,7.45,7.45,7.45,56.0,1022.0,8.1,260.0,0.0,0.0
Gaigeturi,1709344800,1709402400,98.0,7.62,7.62,7.62,56.0,1022.0,7.78,261.0,0.0,0.0
Gaigeturi,1709344800,1709406000,97.0,7.86,7.86,7.86,57.0,1021.0,7.38,269.0,0.0,0.0
Gaigeturi,1709344800,1709409600,98.0,7.79,7.79,7.79,62.0,1021.0,6.92,271.0,0.0,0.0
Gaigeturi,1709344800,1709413200,97.0,7.95,7.95,7.95,64.0,1021.0,6.43,265.0,0.0,0.0
Gaigeturi,1709344800,1709416800,97.0,8.3,8.3,8.3,61.0,1021.0,6.53,261.0,0.0,0.0
Gaigeturi,1709344800,1709420400,98.0,8.47,8.47,8.47,61.0,1022.0,6.29,256.0,0.0,0.0
Gaigeturi,1709344800,1709424000,98.0,8.63,8.63,8.63,63.0,1023.0,6.39,256.0,0.0,0.0
Gaigeturi,1709344800,1709427600,98.0,9.09,9.09,9.09,63.0,1023.0,6.73,255.0,0.0,0.0
Gaigeturi,1709344800,1709431200,99.0,9.39,9.39,9.39,61.0,1023.0,6.67,259.0,0.12,0.0
Gaigeturi,1709344800,1709434800,98.0,9.77,9.77,9.77,60.0,1022.0,6.49,260.0,0.0,0.0
Gaigeturi,1709344800,1709438400,98.0,10.02,10.02,10.02,59.0,1022.0,6.89,257.0,0.0,0.0
Gaigeturi,1709344800,1709442000,98.0,9.98,9.98,9.98,61.0,1022.0,7.26,254.0,0.0,0.0
Gaigeturi,1709344800,1709445600,98.0,10.19,10.19,10.19,59.0,1021.0,6.44,259.0,0.0,0.0
Gaigeturi,1709344800,1709449200,44.0,10.45,10.45,10.45,57.0,1021.0,6.45,260.0,0.0,0.0
Gaigeturi,1709344800,1709452800,68.0,10.32,10.32,10.32,56.0,1021.0,6.15,259.0,0.0,0.0
Gaigeturi,1709344800,1709456400,78.0,10.16,10.16,10.16,57.0,1021.0,5.23,259.0,0.0,0.0
Gaigeturi,1709344800,1709460000,83.0,9.95,9.95,9.95,58.0,1022.0,4.36,261.0,0.0,0.0
Gaigeturi,1709344800,1709463600,84.0,9.92,9.92,9.92,57.0,1022.0,3.81,262.0,0.0,0.0
Gaigeturi,1709344800,1709467200,84.0,9.81,9.81,9.81,57.0,1022.0,3.1,255.0,0.0,0.0
Gaigeturi,1709344800,1709470800,74.0,9.73,9.73,9.73,58.0,1023.0,2.95,241.0,0.0,0.0
Gaigeturi,1709344800,1709474400,49.0,9.44,9.44,9.44,60.0,1023.0,3.1,233.0,0.0,0.0
Gaigeturi,1709344800,1709478000,36.0,9.18,9.18,9.18,62.0,1023.0,2.95,222.0,0.0,0.0
Gaigeturi,1709431200,1709478000,96.0,9.79,9.79,9.79,64.0,1022.0,3.92,257.0,0.0,0.0
Gaigeturi,1709431200,1709481600,97.0,9.73,9.73,9.73,64.0,1023.0,3.72,254.0,0.0,0.0
Gaigeturi,1709431200,1709485200,97.0,9.65,9.65,9.65,65.0,1022.0,3.86,237.0,0.0,0.0
Gaigeturi,1709431200,1709488800,98.0,9.35,9.35,9.35,66.0,1022.0,3.1,223.0,0.0,0.0
Gaigeturi,1709431200,1709492400,100.0,9.26,9.26,9.26,66.0,1022.0,2.88,221.0,0.0,0.0
Gaigeturi,1709431200,1709496000,99.0,9.15,9.15,9.15,66.0,1022.0,2.12,218.0,0.0,0.0
Gaigeturi,1709431200,1709499600,99.0,9.05,9.05,9.05,66.0,1022.0,1.71,196.0,0.0,0.0
Gaigeturi,1709431200,1709503200,100.0,8.97,8.97,8.97,66.0,1022.0,1.99,161.0,0.0,0.0
Gaigeturi,1709431200,1709506800,100.0,9.03,9.03,9.03,66.0,1022.0,2.37,145.0,0.0,0.0
Gaigeturi,1709431200,1709510400,100.0,9.37,9.37,9.37,65.0,1023.0,2.12,131.0,0.0,0.0
Gaigeturi,1709431200,1709514000,100.0,9.89,9.89,9.89,61.0,1023.0,1.95,138.0,0.0,0.0
Gaigeturi,1709431200,1709517600,100.0,10.18,10.18,10.18,61.0,1023.0,2.06,131.0,0.0,0.0
Gaigeturi,1709431200,1709521200,100.0,10.59,10.59,10.59,60.0,1022.0,2.79,105.0,0.0,0.0
Gaigeturi,1709431200,1709524800,100.0,10.74,10.74,10.74,61.0,1021.0,2.44,84.0,0.0,0.0
Gaigeturi,1709431200,1709528400,100.0,10.68,10.68,10.68,64.0,1020.0,3.49,77.0,0.0,0.0
Gaigeturi,1709431200,1709532000,100.0,11.29,11.29,11.29,61.0,1019.0,2.69,112.0,0.0,0.0
Gaigeturi,1709431200,1709535600,100.0,11.27,11.27,11.27,63.0,1019.0,2.34,116.0,0.0,0.0
Gaigeturi,1709431200,1709539200,100.0,11.15,11.15,11.15,67.0,1018.0,2.17,118.0,0.0,0.0
Gaigeturi,1709431200,1709542800,100.0,10.87,10.87,10.87,71.0,1018.0,2.26,109.0,0.19,0.0
Gaigeturi,1709431200,1709546400,100.0,10.19,10.19,10.19,79.0,1019.0,1.35,125.0,0.81,0.0
Gaigeturi,1709431200,1709550000,100.0,9.98,9.98,9.98,83.0,1018.0,2.57,93.0,0.52,0.0
Gaigeturi,1709431200,1709553600,100.0,9.8,9.8,9.8,87.0,1018.0,2.45,93.0,0.82,0.0
Gaigeturi,1709431200,1709557200,100.0,10.17,10.17,10.17,87.0,1018.0,2.67,88.0,0.39,0.0
Gaigeturi,1709431200,1709560800,100.0,10.43,10.43,10.43,87.0,1017.0,3.41,109.0,0.28,0.0
Gaigeturi,1709431200,1709564400,100.0,10.72,10.72,10.72,87.0,1016.0,3.69,94.0,0.29,0.0
Gaigeturi,1709517600,1709564400,100.0,11.39,11.39,11.39,87.0,1014.0,7.6,79.0,0.56,0.0
Gaigeturi,1709517600,1709568000,100.0,11.11,11.11,11.11,89.0,1014.0,7.54,99.0,2.25,0.0
Gaigeturi,1709517600,1709571600,100.0,11.2,11.2,11.2,85.0,1014.0,7.06,91.0,0.8,0.0
Gaigeturi,1709517600,1709575200,100.0,11.44,11.44,11.44,84.0,1013.0,7.78,91.0,0.34,0.0
Gaigeturi,1709517600,1709578800,100.0,11.82,11.82,11.82,84.0,1012.0,7.75,90.0,0.0,0.0
Gaigeturi,1709517600,1709582400,100.0,12.09,12.09,12.09,83.0,1011.0,7.04,91.0,0.0,0.0
Gaigeturi,1709517600,1709586000,100.0,12.26,12.26,12.26,83.0,1011.0,7.79,91.0,0.0,0.0
Gaigeturi,1709517600,1709589600,100.0,12.31,12.31,12.31,83.0,1011.0,7.84,91.0,0.0,0.0
Gaigeturi,1709517600,1709593200,100.0,12.39,12.39,12.39,84.0,1011.0,8.55,90.0,0.0,0.0
Gaigeturi,1709517600,1709596800,100.0,12.45,12.45,12.45,85.0,1011.0,9.29,86.0,0.0,0.0
Gaigeturi,1709517600,1709600400,100.0,12.87,12.87,12.87,84.0,1011.0,9.34,86.0,0.0,0.0
Gaigeturi,1709517600,1709604000,100.0,13.08,13.08,13.08,84.0,1010.0,9.55,86.0,0.0,0.0
Gaigeturi,1709517600,1709607600,100.0,13.33,13.33,13.33,85.0,1009.0,9.65,82.0,0.0,0.0
Gaigeturi,1709517600,1709611200,100.0,13.42,13.42,13.42,86.0,1008.0,9.59,83.0,0.15,0.0
Gaigeturi,1709517600,1709614800,100.0,13.16,13.16,13.16,88.0,1007.0,9.17,76.0,0.94,0.0
Gaigeturi,1709517600,1709618400,100.0,12.75,12.75,12.75,92.0,1007.0,9.86,70.0,3.7,0.0
Gaigeturi,1709517600,1709622000,100.0,12.45,12.45,12.45,90.0,1007.0,10.7,72.0,3.42,0.0
Gaigeturi,1709517600,1709625600,100.0,12.26,12.26,12.26,90.0,1008.0,11.26,62.0,1.62,0.0
Gaigeturi,1709517600,1709629200,100.0,11.97,11.97,11.97,90.0,1008.0,12.56,63.0,1.44,0.0
Gaigeturi,1709517600,1709632800,100.0,11.72,11.72,11.72,88.0,1008.0,13.13,62.0,0.56,0.0
Gaigeturi,1709517600,1709636400,100.0,11.34,11.34,11.34,89.0,1009.0,13.03,67.0,0.47,0.0
Gaigeturi,1709517600,1709640000,100.0,11.46,11.46,11.46,87.0,1009.0,12.12,70.0,0.11,0.0
Gaigeturi,1709517600,1709643600,100.0,11.83,11.83,11.83,86.0,1009.0,11.72,69.0,0.13,0.0
Gaigeturi,1709517600,1709647200,100.0,11.83,11.83,11.83,85.0,1010.0,11.47,63.0,0.13,0.0
Gaigeturi,1709517600,1709650800,100.0,11.68,11.68,11.68,86.0,1010.0,10.96,60.0,0.12,0.0
Gaigeturi,1709604000,1709650800,100.0,10.78,10.78,10.78,84.0,1011.0,9.61,60.0,0.0,0.0
Gaigeturi,1709604000,1709654400,100.0,10.59,10.59,10.59,82.0,1011.0,9.35,55.0,0.0,0.0
Gaigeturi,1709604000,1709658000,100.0,10.56,10.56,10.56,81.0,1012.0,8.84,51.0,0.0,0.0
Gaigeturi,1709604000,1709661600,100.0,10.57,10.57,10.57,80.0,1012.0,9.34,52.0,0.0,0.0
Gaigeturi,1709604000,1709665200,100.0,10.57,10.57,10.57,79.0,1012.0,9.22,49.0,0.0,0.0
Gaigeturi,1709604000,1709668800,100.0,10.44,10.44,10.44,78.0,1012.0,9.34,42.0,0.0,0.0
Gaigeturi,1709604000,1709672400,100.0,10.28,10.28,10.28,77.0,1013.0,9.23,43.0,0.0,0.0
Gaigeturi,1709604000,1709676000,100.0,10.29,10.29,10.29,74.0,1014.0,7.79,41.0,0.0,0.0
Gaigeturi,1709604000,1709679600,100.0,10.35,10.35,10.35,72.0,1015.0,7.21,43.0,0.0,0.0
Gaigeturi,1709604000,1709683200,100.0,10.52,10.52,10.52,72.0,1015.0,6.99,50.0,0.0,0.0
Gaigeturi,1709604000,1709686800,99.0,10.76,10.76,10.76,71.0,1015.0,7.19,52.0,0.0,0.0
Gaigeturi,1709604000,1709690400,99.0,10.93,10.93,10.93,69.0,1015.0,7.43,47.0,0.0,0.0
Gaigeturi,1709604000,1709694000,97.0,10.85,10.85,10.85,68.0,1016.0,7.5,38.0,0.0,0.0
Gaigeturi,1709604000,1709697600,97.0,10.63,10.63,10.63,70.0,1016.0,7.0,31.0,0.0,0.0
Gaigeturi,1709604000,1709701200,97.0,10.45,10.45,10.45,72.0,1016.0,5.73,2.0,0.0,0.0
Gaigeturi,1709604000,1709704800,97.0,10.13,10.13,10.13,74.0,1016.0,6.73,350.0,0.13,0.0
Gaigeturi,1709604000,1709708400,100.0,9.91,9.91,9.91,75.0,1017.0,7.41,348.0,0.0,0.0
Gaigeturi,1709604000,1709712000,100.0,9.88,9.88,9.88,73.0,1017.0,7.15,353.0,0.0,0.0
Gaigeturi,1709604000,1709715600,100.0,9.93,9.93,9.93,72.0,1017.0,6.35,358.0,0.0,0.0
Gaigeturi,1709604000,1709719200,100.0,9.9,9.9,9.9,72.0,1018.0,6.35,357.0,0.0,0.0
Gaigeturi,1709604000,1709722800,100.0,9.78,9.78,9.78,74.0,1018.0,7.22,358.0,0.0,0.0
Gaigeturi,1709604000,1709726400,100.0,9.5,9.5,9.5,75.0,1019.0,6.22,3.0,0.0,0.0
Gaigeturi,1709604000,1709730000,100.0,9.33,9.33,9.33,75.0,1019.0,6.24,360.0,0.0,0.0
Gaigeturi,1709604000,1709733600,95.0,9.14,9.14,9.14,75.0,1019.0,5.78,1.0,0.0,0.0
Gaigeturi,1709604000,1709737200,94.0,9.01,9.01,9.01,75.0,1020.0,5.57,357.0,0.0,0.0
Gaigeturi,1709690400,1709737200,99.0,8.99,8.99,8.99,74.0,1020.0,6.11,352.0,0.0,0.0
Gaigeturi,1709690400,1709740800,99.0,8.83,8.83,8.83,73.0,1019.0,5.43,354.0,0.0,0.0
Gaigeturi,1709690400,1709744400,95.0,8.7,8.7,8.7,73.0,1019.0,5.3,353.0,0.0,0.0
Gaigeturi,1709690400,1709748000,93.0,8.47,8.47,8.47,74.0,1019.0,5.81,356.0,0.0,0.0
Gaigeturi,1709690400,1709751600,88.0,8.27,8.27,8.27,73.0,1019.0,5.69,349.0,0.0,0.0
Gaigeturi,1709690400,1709755200,88.0,8.01,8.01,8.01,72.0,1019.0,6.35,352.0,0.0,0.0
Gaigeturi,1709690400,1709758800,83.0,7.93,7.93,7.93,70.0,1020.0,6.93,351.0,0.0,0.0
Gaigeturi,1709690400,1709762400,73.0,7.73,7.73,7.73,68.0,1020.0,6.63,0.0,0.0,0.0
Gaigeturi,1709690400,1709766000,62.0,7.7,7.7,7.7,65.0,1020.0,5.71,2.0,0.0,0.0
Gaigeturi,1709690400,1709769600,63.0,7.95,7.95,7.95,60.0,1020.0,5.42,3.0,0.0,0.0
Gaigeturi,1709690400,1709773200,86.0,8.21,8.21,8.21,58.0,1020.0,5.99,357.0,0.0,0.0
Gaigeturi,1709690400,1709776800,91.0,8.33,8.33,8.33,56.0,1020.0,5.72,351.0,0.0,0.0
Gaigeturi,1709690400,1709780400,94.0,8.21,8.21,8.21,56.0,1020.0,5.55,348.0,0.0,0.0
Gaigeturi,1709690400,1709784000,96.0,8.31,8.31,8.31,57.0,1020.0,6.19,333.0,0.0,0.0
Gaigeturi,1709690400,1709787600,96.0,8.2,8.2,8.2,56.0,1020.0,5.76,333.0,0.0,0.0
Gaigeturi,1709690400,1709791200,96.0,8.16,8.16,8.16,58.0,1019.0,6.39,329.0,0.0,0.0
Gaigeturi,1709690400,1709794800,100.0,7.98,7.98,7.98,59.0,1019.0,6.25,331.0,0.0,0.0
Gaigeturi,1709690400,1709798400,100.0,7.85,7.85,7.85,60.0,1019.0,6.93,331.0,0.0,0.0
Gaigeturi,1709690400,1709802000,100.0,7.64,7.64,7.64,61.0,1019.0,6.98,337.0,0.0,0.0
Gaigeturi,1709690400,1709805600,100.0,7.52,7.52,7.52,61.0,1020.0,7.04,341.0,0.0,0.0
Gaigeturi,1709690400,1709809200,100.0,7.43,7.43,7.43,60.0,1020.0,7.43,343.0,0.0,0.0
Gaigeturi,1709690400,1709812800,100.0,7.36,7.36,7.36,58.0,1020.0,7.33,344.0,0.0,0.0
Gaigeturi,1709690400,1709816400,100.0,7.3,7.3,7.3,56.0,1021.0,7.56,347.0,0.0,0.0
Gaigeturi,1709690400,1709820000,100.0,7.22,7.22,7.22,56.0,1021.0,7.65,350.0,0.0,0.0
Gaigeturi,1709690400,1709823600,100.0,7.17,7.17,7.17,56.0,1021.0,7.61,352.0,0.0,0.0
Gaigeturi,1709776800,1709823600,69.0,6.89,6.89,6.89,55.0,1020.0,7.77,345.0,0.0,0.0
Gaigeturi,1709776800,1709827200,52.0,6.84,6.84,6.84,55.0,1020.0,7.28,349.0,0.0,0.0
Gaigeturi,1709776800,1709830800,42.0,6.83,6.83,6.83,56.0,1020.0,7.04,348.0,0.0,0.0
Gaigeturi,1709776800,1709834400,35.0,6.78,6.78,6.78,58.0,1020.0,6.93,348.0,0.0,0.0
Gaigeturi,1709776800,1709838000,5.0,6.69,6.69,6.69,59.0,1019.0,6.27,351.0,0.0,0.0
Gaigeturi,1709776800,1709841600,7.0,6.67,6.67,6.67,60.0,1019.0,5.88,348.0,0.0,0.0
Gaigeturi,1709776800,1709845200,18.0,6.72,6.72,6.72,60.0,1020.0,5.84,348.0,0.0,0.0
Gaigeturi,1709776800,1709848800,16.0,6.72,6.72,6.72,59.0,1020.0,5.49,347.0,0.0,0.0
Gaigeturi,1709776800,1709852400,15.0,7.12,7.12,7.12,57.0,1020.0,5.29,343.0,0.0,0.0
Gaigeturi,1709776800,1709856000,14.0,7.59,7.59,7.59,55.0,1021.0,5.79,336.0,0.0,0.0
Gaigeturi,1709776800,1709859600,19.0,7.88,7.88,7.88,55.0,1021.0,6.34,330.0,0.0,0.0
Gaigeturi,1709776800,1709863200,19.0,8.15,8.15,8.15,54.0,1021.0,6.62,326.0,0.0,0.0
Gaigeturi,1709776800,1709866800,23.0,8.43,8.43,8.43,54.0,1021.0,7.27,324.0,0.0,0.0
Gaigeturi,1709776800,1709870400,36.0,8.64,8.64,8.64,55.0,1021.0,7.79,323.0,0.0,0.0
Gaigeturi,1709776800,1709874000,47.0,8.81,8.81,8.81,56.0,1021.0,8.43,325.0,0.0,0.0
Gaigeturi,1709776800,1709877600,51.0,8.88,8.88,8.88,56.0,1021.0,8.87,326.0,0.0,0.0
Gaigeturi,1709776800,1709881200,73.0,8.75,8.75,8.75,56.0,1021.0,9.18,331.0,0.0,0.0
Gaigeturi,1709776800,1709884800,55.0,8.31,8.31,8.31,56.0,1021.0,9.14,332.0,0.0,0.0
Gaigeturi,1709776800,1709888400,47.0,7.83,7.83,7.83,57.0,1022.0,8.85,334.0,0.0,0.0
Gaigeturi,1709776800,1709892000,42.0,7.47,7.47,7.47,57.0,1022.0,8.87,332.0,0.0,0.0
Gaigeturi,1709776800,1709895600,40.0,7.24,7.24,7.24,58.0,1023.0,9.31,333.0,0.0,0.0
Gaigeturi,1709776800,1709899200,39.0,6.99,6.99,6.99,59.0,1023.0,9.36,330.0,0.0,0.0
Gaigeturi,1709776800,1709902800,35.0,6.62,6.62,6.62,61.0,1023.0,9.42,331.0,0.0,0.0
Gaigeturi,1709776800,1709906400,38.0,6.29,6.29,6.29,61.0,1024.0,9.49,334.0,0.0,0.0
Gaigeturi,1709776800,1709910000,57.0,5.89,5.89,5.89,62.0,1024.0,8.76,335.0,0.0,0.0
Gaigeturi,1709863200,1709910000,62.0,6.27,6.27,6.27,59.0,1024.0,9.4,329.0,0.0,0.0
Gaigeturi,1709863200,1709913600,60.0,6.02,6.02,6.02,60.0,1024.0,9.23,331.0,0.0,0.0
Gaigeturi,1709863200,1709917200,64.0,5.79,5.79,5.79,61.0,1024.0,8.58,335.0,0.0,0.0
Gaigeturi,1709863200,1709920800,64.0,5.59,5.59,5.59,62.0,1024.0,8.05,335.0,0.0,0.0
Gaigeturi,1709863200,1709924400,84.0,5.63,5.63,5.63,62.0,1024.0,7.8,337.0,0.0,0.0
Gaigeturi,1709863200,1709928000,86.0,5.57,5.57,5.57,62.0,1024.0,7.9,339.0,0.0,0.0
Gaigeturi,1709863200,1709931600,87.0,5.6,5.6,5.6,62.0,1025.0,7.87,339.0,0.0,0.0
Gaigeturi,1709863200,1709935200,84.0,5.48,5.48,5.48,62.0,1025.0,7.47,343.0,0.0,0.0
Gaigeturi,1709863200,1709938800,81.0,5.6,5.6,5.6,62.0,1026.0,7.36,348.0,0.0,0.0
Gaigeturi,1709863200,1709942400,77.0,5.91,5.91,5.91,59.0,1026.0,7.24,351.0,0.0,0.0
Gaigeturi,1709863200,1709946000,46.0,6.13,6.13,6.13,58.0,1026.0,7.06,353.0,0.0,0.0
Gaigeturi,1709863200,1709949600,31.0,6.34,6.34,6.34,58.0,1026.0,6.93,354.0,0.0,0.0
Gaigeturi,1709863200,1709953200,24.0,6.45,6.45,6.45,58.0,1026.0,6.85,356.0,0.0,0.0
Gaigeturi,1709863200,1709956800,21.0,6.53,6.53,6.53,57.0,1026.0,6.58,356.0,0.0,0.0
Gaigeturi,1709863200,1709960400,23.0,6.63,6.63,6.63,58.0,1026.0,6.61,356.0,0.0,0.0
Gaigeturi,1709863200,1709964000,36.0,6.63,6.63,6.63,58.0,1026.0,6.52,355.0,0.0,0.0
Gaigeturi,1709863200,1709967600,100.0,6.54,6.54,6.54,58.0,1026.0,6.14,355.0,0.0,0.0
Gaigeturi,1709863200,1709971200,100.0,6.48,6.48,6.48,57.0,1026.0,6.09,354.0,0.0,0.0
Gaigeturi,1709863200,1709974800,89.0,6.29,6.29,6.29,57.0,1027.0,5.99,355.0,0.0,0.0
Gaigeturi,1709863200,1709978400,92.0,6.19,6.19,6.19,58.0,1027.0,5.92,356.0,0.0,0.0
Gaigeturi,1709863200,1709982000,94.0,6.14,6.14,6.14,58.0,1027.0,6.23,0.0,0.0,0.0
Gaigeturi,1709863200,1709985600,95.0,6.24,6.24,6.24,57.0,1028.0,6.24,2.0,0.0,0.0
Gaigeturi,1709863200,1709989200,100.0,6.29,6.29,6.29,57.0,1028.0,5.98,3.0,0.0,0.0
Gaigeturi,1709863200,1709992800,97.0,6.19,6.19,6.19,58.0,1028.0,5.98,5.0,0.0,0.0
Gaigeturi,1709863200,1709996400,98.0,6.27,6.27,6.27,59.0,1028.0,5.98,6.0,0.0,0.0
Gaigeturi,1709949600,1709996400,18.0,6.19,6.19,6.19,60.0,1028.0,5.25,3.0,0.0,0.0
Gaigeturi,1709949600,1710000000,14.0,6.24,6.24,6.24,61.0,1028.0,5.28,5.0,0.0,0.0
Gaigeturi,1709949600,1710003600,11.0,6.33,6.33,6.33,61.0,1028.0,5.23,8.0,0.0,0.0
Gaigeturi,1709949600,1710007200,10.0,6.32,6.32,6.32,60.0,1028.0,5.22,8.0,0.0,0.0
Gaigeturi,1709949600,1710010800,0.0,6.28,6.28,6.28,60.0,1028.0,5.34,9.0,0.0,0.0
Gaigeturi,1709949600,1710014400,0.0,6.27,6.27,6.27,60.0,1028.0,5.45,14.0,0.0,0.0
Gaigeturi,1709949600,1710018000,0.0,6.29,6.29,6.29,59.0,1029.0,5.18,20.0,0.0,0.0
Gaigeturi,1709949600,1710021600,0.0,6.22,6.22,6.22,58.0,1029.0,4.81,28.0,0.0,0.0
Gaigeturi,1709949600,1710025200,0.0,6.67,6.67,6.67,55.0,1030.0,4.34,29.0,0.0,0.0
Gaigeturi,1709949600,1710028800,0.0,7.42,7.42,7.42,50.0,1031.0,4.18,25.0,0.0,0.0
Gaigeturi,1709949600,1710032400,0.0,7.96,7.96,7.96,47.0,1031.0,3.72,25.0,0.0,0.0
Gaigeturi,1709949600,1710036000,0.0,8.52,8.52,8.52,45.0,1031.0,3.36,20.0,0.0,0.0
Gaigeturi,1709949600,1710039600,0.0,8.92,8.92,8.92,44.0,1030.0,3.19,16.0,0.0,0.0
Gaigeturi,1709949600,1710043200,0.0,9.19,9.19,9.19,44.0,1029.0,3.38,19.0,0.0,0.0
Gaigeturi,1709949600,1710046800,1.0,9.48,9.48,9.48,45.0,1029.0,3.15,6.0,0.0,0.0
Gaigeturi,1709949600,1710050400,1.0,9.53,9.53,9.53,46.0,1029.0,3.67,17.0,0.0,0.0
Gaigeturi,1709949600,1710054000,0.0,9.58,9.58,9.58,45.0,1029.0,2.99,14.0,0.0,0.0
Gaigeturi,1709949600,1710057600,1.0,9.51,9.51,9.51,45.0,1028.0,2.66,15.0,0.0,0.0
Gaigeturi,1709949600,1710061200,1.0,9.3,9.3,9.3,45.0,1028.0,2.16,13.0,0.0,0.0
Gaigeturi,1709949600,1710064800,5.0,9.01,9.01,9.01,46.0,1029.0,1.92,325.0,0.0,0.0
Gaigeturi,1709949600,1710068400,24.0,8.93,8.93,8.93,46.0,1030.0,2.14,332.0,0.0,0.0
Gaigeturi,1709949600,1710072000,36.0,8.83,8.83,8.83,48.0,1030.0,2.72,51.0,0.0,0.0
Gaigeturi,1709949600,1710075600,100.0,8.92,8.92,8.92,51.0,1029.0,3.39,71.0,0.0,0.0
Gaigeturi,1709949600,1710079200,100.0,9.14,9.14,9.14,52.0,1029.0,2.13,99.0,0.0,0.0
Gaigeturi,1709949600,1710082800,100.0,9.22,9.22,9.22,53.0,1029.0,1.31,185.0,0.0,0.0
Gaigeturi,1710036000,1710082800,93.0,9.06,9.06,9.06,59.0,1028.0,1.66,154.0,0.0,0.0
Gaigeturi,1710036000,1710086400,94.0,9.25,9.25,9.25,63.0,1027.0,1.63,140.0,0.0,0.0
Gaigeturi,1710036000,1710090000,96.0,9.5,9.5,9.5,65.0,1027.0,1.74,181.0,0.0,0.0
Gaigeturi,1710036000,1710093600,96.0,9.6,9.6,9.6,65.0,1026.0,2.3,170.0,0.0,0.0
Gaigeturi,1710036000,1710097200,100.0,9.65,9.65,9.65,63.0,1026.0,3.0,171.0,0.0,0.0
Gaigeturi,1710036000,1710100800,100.0,9.64,9.64,9.64,61.0,1025.0,3.48,162.0,0.0,0.0
Gaigeturi,1710036000,1710104400,100.0,9.45,9.45,9.45,61.0,1024.0,3.58,159.0,0.0,0.0
Gaigeturi,1710036000,1710108000,100.0,9.43,9.43,9.43,60.0,1024.0,3.73,169.0,0.0,0.0
Gaigeturi,1710036000,1710111600,100.0,9.94,9.94,9.94,60.0,1025.0,4.18,177.0,0.0,0.0
Gaigeturi,1710036000,1710115200,100.0,11.06,11.06,11.06,61.0,1024.0,5.48,181.0,0.0,0.0
