ts,하루전가격(원/kWh)
1709744400,94.48
1709748000,90.83
1709751600,90.83
1709755200,90.83
1709758800,95.00
1709762400,108.17
1709766000,108.69
1709769600,170.95
1709773200,179.82
1709776800,134.97
1709780400,165.47
1709784000,154.48
1709787600,159.69
1709791200,154.67
1709794800,145.83
1709798400,166.64
1709802000,166.64
1709805600,166.82
1709809200,145.07
1709812800,148.60
1709816400,139.29
1709820000,131.20
1709823600,131.94
1709827200,108.22
1709830800,99.07
1709834400,94.56
1709838000,90.83
1709841600,94.55
1709845200,95.86
1709848800,109.48
1709852400,139.50
1709856000,167.40
1709859600,171.52
1709863200,168.51
1709866800,158.96
1709870400,152.91
1709874000,159.69
1709877600,159.69
1709881200,159.69
1709884800,153.07
1709888400,167.22
1709892000,150.75
1709895600,145.67
1709899200,142.91
1709902800,108.69
1709906400,109.48
1709910000,120.38
1709913600,169.62
1709917200,110.46
1709920800,110.46
1709924400,109.16
1709928000,110.73
1709931600,110.73
1709935200,157.36
1709938800,158.88
1709942400,110.73
1709946000,110.46
1709949600,100.55
1709953200,-1.00
1709956800,-50.00
1709960400,-50.00
1709964000,95.43
1709967600,95.96
1709971200,107.57
1709974800,154.25
1709978400,154.27
1709982000,156.13
1709985600,159.46
1709989200,159.97
1709992800,167.01
1709996400,166.69
1710000000,156.87
1710003600,154.76
1710007200,110.09
1710010800,142.50
1710014400,110.35
1710018000,170.09
1710021600,170.09
1710025200,170.09
1710028800,110.09
1710032400,91.64
1710036000,91.77
1710039600,91.28
1710043200,91.29
1710046800,6.93
1710050400,82.66
1710054000,91.50
1710057600,93.74
1710061200,161.39
1710064800,166.08
1710068400,255.59
1710072000,255.59
1710075600,166.38
1710079200,166.38
1710082800,166.38
1710086400,170.75
1710090000,132.75
1710093600,168.63
1710097200,136.34
1710100800,84.24
1710104400,84.24
1710108000,137.61
1710111600,134.77
1710115200,163.58
1710118800,177.79
1710122400,168.28
1710126000,153.78
1710129600,153.48
1710133200,153.69
1710136800,153.74
1710140400,162.68
1710144000,153.74
1710147600,167.62
1710151200,167.62
1710154800,167.62
1710158400,167.62
1710162000,167.62
1710165600,167.62
1710169200,167.47
1710172800,167.14
1710176400,162.59
1710180000,107.12
1710183600,145.16
1710187200,145.16
1710190800,145.16
1710194400,149.52
1710198000,169.25
1710201600,169.05
1710205200,169.05
1710208800,172.80
1710212400,168.38
1710216000,160.21
1710219600,160.30
1710223200,159.57
1710226800,157.72
1710230400,158.89
1710234000,159.79
1710237600,160.21
1710241200,160.21
1710244800,154.56
1710248400,152.75
1710252000,158.79
1710255600,158.81
1710259200,170.72
1710262800,107.91
1710266400,107.91
1710270000,108.17
1710273600,108.17
1710277200,108.69
1710280800,152.91
1710284400,156.49
1710288000,160.34
1710291600,172.97
1710295200,165.07
1710298800,167.95
1710302400,0.00
1710306000,156.49
1710309600,156.49
1710313200,156.49
1710316800,156.81
1710320400,171.96
1710324000,170.10
1710327600,170.10
1710331200,170.10
1710334800,151.35
1710338400,151.33
1710342000,165.74
1710345600,128.74
1710349200,117.07
1710352800,107.31
1710356400,103.63
1710360000,107.40
1710363600,129.19
1710367200,130.62
1710370800,170.72
1710374400,171.96
1710378000,168.30
1710381600,159.69
1710385200,146.76
1710388800,141.76
1710392400,141.76
1710396000,141.73
1710399600,141.73
1710403200,140.55
1710406800,164.60
1710410400,169.17
1710414000,329.89
1710417600,169.92
1710421200,169.14
1710424800,166.26
1710428400,166.26
1710432000,165.97
1710435600,164.73
1710439200,162.57
1710442800,160.33
1710446400,160.09
1710450000,143.38
1710453600,163.62
1710457200,162.52
1710460800,162.35
1710464400,150.18
1710468000,146.39
1710471600,148.62
1710475200,99.07
1710478800,97.01
1710482400,100.77
1710486000,131.45
1710489600,142.54
1710493200,164.03
1710496800,168.10
1710500400,169.84
1710504000,281.19
1710507600,169.84
1710511200,166.18
1710514800,154.94
1710518400,165.98
1710522000,155.71
1710525600,155.71
1710529200,144.15
1710532800,169.34
1710536400,169.34
1710540000,169.34
1710543600,154.82
1710547200,117.62
1710550800,106.25
1710554400,99.48
1710558000,0.00
1710561600,100.55
1710565200,0.00
1710568800,104.91
1710572400,99.48
1710576000,250.03
1710579600,133.44
1710583200,167.94
1710586800,170.92
1710590400,170.44
1710594000,169.16
1710597600,169.16
1710601200,169.16
1710604800,141.97
1710608400,106.51
1710612000,95.97
1710615600,250.03
1710619200,253.57
1710622800,128.43
1710626400,144.20
1710630000,137.97
1710633600,99.15
1710637200,144.00
1710640800,93.07
1710644400,105.37
1710648000,116.59
1710651600,91.76
1710655200,100.21
1710658800,91.41
1710662400,91.41
1710666000,144.20
1710669600,133.04
1710673200,133.54
1710676800,160.68
1710680400,160.64
1710684000,160.60
1710687600,160.53
1710691200,124.98
1710694800,146.57
1710698400,86.30
1710702000,86.30
1710705600,86.30
1710709200,94.53
1710712800,109.22
1710716400,144.56
1710720000,146.19
1710723600,170.03
1710727200,169.72
1710730800,154.46
1710734400,146.17
1710738000,154.43
1710741600,146.17
1710745200,153.26
1710748800,162.51
1710752400,146.17
1710756000,168.89
1710759600,168.89
1710763200,168.89
1710766800,167.64
1710770400,165.97
1710774000,165.97
1710777600,124.24
1710781200,158.67
1710784800,101.77
1710788400,101.77
1710792000,101.77
1710795600,158.67
1710799200,167.09
1710802800,167.09
1710806400,165.22
1710810000,166.91
1710813600,154.48
1710817200,154.48
1710820800,145.91
1710824400,0.00
1710828000,0.00
1710831600,153.28
1710835200,145.92
1710838800,146.58
1710842400,148.67
1710846000,148.93
1710849600,147.72
1710853200,147.03
1710856800,151.27
1710860400,151.28
1710864000,124.24
1710867600,107.31
1710871200,103.39
1710874800,103.32
1710878400,103.63
1710882000,118.48
1710885600,125.91
1710889200,129.18
1710892800,0.00
1710896400,0.00
1710900000,-19.00
1710903600,-77.94
1710907200,-77.94
1710910800,-77.94
1710914400,-76.38
1710918000,0.00
1710921600,125.62
1710925200,125.62
1710928800,146.98
1710932400,147.59
1710936000,147.64
1710939600,147.69
1710943200,152.99
1710946800,153.00
1710950400,127.41
1710954000,108.69
1710957600,103.53
1710961200,103.34
1710964800,107.31
1710968400,127.59
1710972000,127.59
1710975600,255.56
1710979200,148.94
1710982800,146.86
1710986400,151.23
1710990000,150.46
1710993600,126.25
1710997200,147.14
1711000800,149.42
1711004400,149.29
1711008000,149.29
1711011600,145.90
1711015200,168.52
1711018800,171.02
1711022400,174.63
1711026000,169.77
1711029600,172.27
1711033200,166.38
1711036800,168.26
1711040400,162.35
1711044000,121.65
1711047600,121.65
1711051200,153.45
1711054800,153.60
1711058400,156.03
1711062000,156.92
1711065600,155.27
1711069200,155.08
1711072800,0.00
1711076400,-19.00
1711080000,-77.94
1711083600,-25.98
1711087200,0.00
1711090800,153.27
1711094400,153.28
1711098000,153.28
1711101600,153.28
1711105200,153.40
1711108800,153.40
1711112400,153.46
1711116000,153.57
1711119600,160.11
1711123200,158.33
1711126800,156.67
1711130400,124.91
1711134000,120.02
1711137600,139.13
1711141200,156.68
1711144800,156.69
1711148400,156.69
1711152000,157.19
1711155600,105.68
1711159200,126.62
1711162800,127.32
1711166400,100.55
1711170000,105.24
1711173600,104.91
1711177200,95.27
1711180800,251.38
1711184400,104.76
1711188000,169.81
1711191600,157.40
1711195200,169.81
1711198800,169.81
1711202400,169.81
1711206000,169.81
1711209600,158.08
1711213200,158.08
1711216800,133.94
1711220400,100.21
1711224000,104.62
1711227600,125.92
1711231200,135.54
1711234800,122.60
1711238400,95.83
1711242000,100.21
1711245600,100.21
1711249200,96.49
1711252800,95.77
1711256400,95.77
1711260000,95.42
1711263600,91.38
1711267200,95.47
1711270800,104.78
1711274400,136.79
1711278000,134.01
1711281600,134.27
1711285200,135.66
1711288800,135.69
1711292400,134.14
1711296000,143.15
1711299600,105.24
1711303200,105.24
1711306800,105.24
1711310400,105.24
1711314000,105.24
1711317600,156.31
1711321200,165.27
1711324800,167.94
1711328400,208.14
1711332000,167.94
1711335600,156.20
1711339200,150.87
1711342800,162.11
1711346400,162.33
1711350000,162.39
1711353600,156.20
1711357200,156.20
1711360800,162.11
1711364400,156.21
1711368000,156.15
1711371600,153.07
1711375200,153.02
1711378800,152.89
1711382400,166.45
1711386000,250.73
1711389600,249.71
1711393200,143.35
1711396800,143.35
1711400400,143.35
1711404000,143.35
1711407600,153.24
1711411200,159.51
1711414800,203.29
1711418400,159.51
1711422000,154.11
1711425600,119.50
1711429200,153.92
1711432800,154.10
1711436400,154.10
1711440000,154.11
1711443600,159.51
1711447200,165.90
1711450800,165.90
1711454400,159.51
1711458000,169.72
1711461600,169.72
1711465200,169.72
1711468800,149.86
1711472400,143.75
1711476000,135.94
1711479600,157.02
1711483200,157.02
1711486800,143.75
1711490400,151.82
1711494000,151.81
1711497600,155.71
1711501200,171.91
1711504800,159.69
1711508400,159.29
1711512000,0.00
1711515600,0.00
1711519200,160.09
1711522800,168.71
1711526400,171.24
1711530000,164.81
1711533600,171.48
1711537200,171.48
1711540800,171.48
1711544400,171.48
1711548000,151.77
1711551600,153.69
1711555200,143.55
1711558800,119.97
1711562400,119.97
1711566000,119.97
1711569600,119.97
1711573200,119.97
1711576800,155.96
1711580400,153.23
1711584000,155.96
1711587600,167.81
1711591200,158.88
1711594800,158.88
1711598400,155.76
1711602000,158.88
1711605600,159.69
1711609200,171.06
1711612800,168.38
1711616400,168.38
1711620000,168.56
1711623600,168.56
1711627200,155.05
1711630800,150.35
1711634400,151.71
1711638000,153.22
1711641600,146.02
1711645200,120.07
1711648800,120.07
1711652400,157.53
1711656000,157.70
1711659600,120.07
1711663200,156.03
1711666800,156.67
1711670400,156.38
1711674000,0.00
1711677600,-77.94
1711681200,-77.94
1711684800,-77.94
1711688400,-77.94
1711692000,-19.00
1711695600,0.00
1711699200,153.27
1711702800,148.37
1711706400,153.28
1711710000,153.28
1711713600,157.16
1711717200,157.03
1711720800,155.96
1711724400,156.04
1711728000,165.59
1711731600,164.43
1711735200,255.56
1711738800,135.09
1711742400,136.92
1711746000,156.46
1711749600,165.59
1711753200,126.58
1711756800,112.28
1711760400,112.28
1711764000,0.00
1711767600,-77.94
1711771200,-77.94
1711774800,-38.00
1711778400,0.00
1711782000,100.55
1711785600,102.33
1711789200,135.99
1711792800,169.78
1711796400,169.78
1711800000,168.72
1711803600,168.90
1711807200,168.90
1711810800,168.90
1711814400,156.05
1711818000,156.05
1711821600,156.05
1711825200,156.25
1711828800,156.25
1711832400,156.25
1711836000,175.79
1711839600,175.79
1711843200,156.05
1711846800,155.65
1711850400,155.65
1711854000,155.65
1711857600,155.65
1711861200,142.19
1711864800,142.19
1711868400,155.65
1711872000,155.65
1711875600,155.65
1711879200,171.57
1711882800,170.06
1711886400,172.53
1711890000,176.10
1711893600,171.34
1711897200,172.81
1711900800,159.31
1711904400,95.81
1711908000,159.82
1711911600,154.16
1711915200,154.17
1711918800,160.41
1711922400,123.99
1711926000,153.65
1711929600,158.52
1711933200,157.81
1711936800,117.40
1711940400,0.00
1711944000,-79.32
1711947600,-79.32
1711951200,-1.40
1711954800,110.39
1711958400,120.06
1711962000,152.36
1711965600,202.82
1711969200,156.01
1711972800,156.01
1711976400,154.91
1711980000,154.98
1711983600,154.98
1711987200,144.71
1711990800,144.71
1711994400,144.71
1711998000,144.71
1712001600,144.71
1712005200,144.71
1712008800,159.73
1712012400,163.03
1712016000,159.54
1712019600,162.75
1712023200,154.79
1712026800,144.15
1712030400,144.15
1712034000,144.34
1712037600,156.07
1712041200,159.15
1712044800,159.15
1712048400,159.15
1712052000,147.63
1712055600,147.14
1712059200,159.54
1712062800,159.54
1712066400,159.54
1712070000,141.96
1712073600,144.25
1712077200,158.23
1712080800,144.25
1712084400,144.25
1712088000,144.44
1712091600,144.44
1712095200,144.25
1712098800,158.23
1712102400,158.04
1712106000,162.45
1712109600,163.37
1712113200,157.66
1712116800,157.66
1712120400,157.66
1712124000,157.66
1712127600,160.71
1712131200,157.66
1712134800,157.66
1712138400,158.04
1712142000,158.04
1712145600,158.04
1712149200,158.04
1712152800,158.04
1712156400,158.04
1712160000,153.98
1712163600,153.76
1712167200,144.31
1712170800,144.31
1712174400,144.31
1712178000,153.98
1712181600,153.98
1712185200,157.28
1712188800,157.09
1712192400,162.45
1712196000,157.09
1712199600,156.71
1712203200,156.71
1712206800,156.71
1712210400,156.71
1712214000,162.45
1712217600,156.71
1712221200,156.71
1712224800,157.09
1712228400,162.45
1712232000,157.09
1712235600,157.09
1712239200,157.09
1712242800,157.09
1712246400,157.01
1712250000,157.01
1712253600,103.65
1712257200,95.35
1712260800,102.33
1712264400,104.40
1712268000,157.31
1712271600,157.31
1712275200,156.96
1712278800,159.40
1712282400,151.92
1712286000,151.38
1712289600,123.49
1712293200,150.26
1712296800,150.26
1712300400,155.90
1712304000,155.90
1712307600,154.51
1712311200,156.28
1712314800,156.47
1712318400,156.54
1712322000,156.54
1712325600,156.68
1712329200,156.28
1712332800,144.19
1712336400,144.19
1712340000,158.75
1712343600,144.19
1712347200,144.19
1712350800,144.19
1712354400,144.19
1712358000,144.19
1712361600,144.00
1712365200,143.82
1712368800,143.45
1712372400,143.45
1712376000,143.45
1712379600,143.45
1712383200,143.45
1712386800,143.45
1712390400,143.45
1712394000,159.22
1712397600,160.45
1712401200,161.53
1712404800,161.53
1712408400,144.00
1712412000,161.25
1712415600,161.39
1712419200,144.46
1712422800,144.46
1712426400,144.46
1712430000,144.46
1712433600,144.46
1712437200,144.46
1712440800,159.27
1712444400,144.46
1712448000,144.09
1712451600,143.72
1712455200,130.96
1712458800,130.78
1712462400,130.78
1712466000,143.34
1712469600,143.53
1712473200,143.53
1712476800,143.53
1712480400,161.52
1712484000,162.56
1712487600,143.90
1712491200,163.68
1712494800,163.24
1712498400,160.76
1712502000,144.09
1712505600,152.16
1712509200,157.62
1712512800,153.27
1712516400,86.38
1712520000,151.89
1712523600,152.35
1712527200,157.91
1712530800,159.38
1712534400,162.45
1712538000,161.05
1712541600,158.20
1712545200,157.21
1712548800,153.57
1712552400,157.58
1712556000,157.58
1712559600,158.15
1712563200,158.86
1712566800,162.45
1712570400,158.50
1712574000,137.16
1712577600,141.61
1712581200,132.51
1712584800,129.76
1712588400,129.76
1712592000,101.22
1712595600,127.40
1712599200,125.40
1712602800,124.66
1712606400,87.05
1712610000,125.52
1712613600,126.78
1712617200,131.85
1712620800,144.51
1712624400,144.45
1712628000,136.64
1712631600,133.59
1712635200,113.17
1712638800,129.76
1712642400,133.59
1712646000,133.59
1712649600,133.59
1712653200,150.87
1712656800,151.90
1712660400,155.58
1712664000,136.88
1712667600,131.60
1712671200,129.76
1712674800,129.76
1712678400,117.35
1712682000,102.40
1712685600,126.01
1712689200,124.27
1712692800,124.47
1712696400,157.44
1712700000,157.44
1712703600,157.44
1712707200,110.38
1712710800,0.00
1712714400,150.28
1712718000,0.00
1712721600,0.00
1712725200,143.15
1712728800,115.93
1712732400,137.44
1712736000,109.98
1712739600,212.95
1712743200,206.64
1712746800,156.87
1712750400,156.88
1712754000,156.65
1712757600,156.65
1712761200,142.26
1712764800,102.01
1712768400,96.31
1712772000,86.93
1712775600,85.92
1712779200,86.93
1712782800,96.31
1712786400,102.32
1712790000,113.53
1712793600,158.09
1712797200,164.20
1712800800,137.28
1712804400,141.68
1712808000,117.79
1712811600,144.41
1712815200,117.79
1712818800,143.55
1712822400,117.79
1712826000,151.90
1712829600,153.93
1712833200,154.32
1712836800,154.32
1712840400,153.00
1712844000,213.13
1712847600,157.57
1712851200,202.09
1712854800,150.99
1712858400,87.57
1712862000,87.34
1712865600,87.57
1712869200,95.88
1712872800,145.92
1712876400,101.85
1712880000,137.41
1712883600,148.26
1712887200,142.30
1712890800,142.30
1712894400,119.09
1712898000,119.09
1712901600,119.09
1712905200,119.09
1712908800,116.23
1712912400,97.41
1712916000,98.42
1712919600,127.01
1712923200,99.18
1712926800,99.44
1712930400,156.86
1712934000,157.95
1712937600,154.79
1712941200,92.86
1712944800,151.93
1712948400,150.28
1712952000,86.90
1712955600,100.94
1712959200,101.13
1712962800,92.86
1712966400,96.25
1712970000,98.07
1712973600,98.09
1712977200,0.00
1712980800,96.23
1712984400,95.49
1712988000,95.65
1712991600,96.38
1712995200,97.68
1712998800,97.82
1713002400,127.12
1713006000,153.96
1713009600,154.02
1713013200,153.55
1713016800,154.52
1713020400,153.70
1713024000,158.40
1713027600,94.96
1713031200,86.66
1713034800,86.65
1713038400,86.68
1713042000,100.28
1713045600,99.37
1713049200,94.77
1713052800,95.19
1713056400,98.75
1713060000,97.48
1713063600,97.23
1713067200,94.12
1713070800,94.57
1713074400,95.51
1713078000,118.20
1713081600,118.20
1713085200,139.73
1713088800,119.00
1713092400,141.75
1713096000,139.71
1713099600,119.84
1713103200,119.08
1713106800,124.70
1713110400,98.68
1713114000,92.47
1713117600,85.90
1713121200,85.65
1713124800,85.90
1713128400,85.90
1713132000,92.50
1713135600,113.47
1713139200,155.27
1713142800,188.14
1713146400,188.25
1713150000,154.15
1713153600,137.15
1713157200,143.08
1713160800,146.89
1713164400,146.73
1713168000,150.96
1713171600,192.48
1713175200,200.64
1713178800,321.33
1713182400,202.95
1713186000,198.36
1713189600,206.11
1713193200,193.35
1713196800,200.55
1713200400,152.25
1713204000,152.97
1713207600,151.99
1713211200,99.29
1713214800,101.47
1713218400,115.89
1713222000,152.27
1713225600,152.07
1713229200,152.25
1713232800,142.99
1713236400,142.75
1713240000,0.00
1713243600,137.15
1713247200,137.28
1713250800,141.79
1713254400,141.55
1713258000,137.12
1713261600,138.79
1713265200,155.96
1713268800,154.50
1713272400,154.50
1713276000,154.50
1713279600,154.33
1713283200,116.28
1713286800,116.28
1713290400,111.46
1713294000,103.31
1713297600,109.10
1713301200,111.58
1713304800,111.46
1713308400,143.54
1713312000,143.61
1713315600,144.31
1713319200,142.71
1713322800,133.41
1713326400,114.46
1713330000,128.88
1713333600,133.41
1713337200,133.41
1713340800,129.77
1713344400,132.90
1713348000,139.01
1713351600,147.28
1713355200,147.40
1713358800,145.84
1713362400,143.61
1713366000,143.61
1713369600,116.23
1713373200,95.91
1713376800,95.64
1713380400,95.83
1713384000,132.03
1713387600,116.28
1713391200,116.18
1713394800,113.47
1713398400,146.69
1713402000,135.68
1713405600,135.68
1713409200,0.00
1713412800,-0.11
1713416400,0.00
1713420000,135.51
1713423600,135.51
1713427200,136.29
1713430800,138.47
1713434400,140.08
1713438000,142.61
1713441600,146.71
1713445200,155.12
1713448800,155.40
1713452400,130.45
1713456000,116.23
1713459600,96.19
1713463200,125.43
1713466800,85.93
1713470400,126.07
1713474000,123.44
1713477600,101.47
1713481200,113.62
1713484800,122.65
1713488400,113.59
1713492000,97.30
1713495600,-39.66
1713499200,-51.27
1713502800,96.88
1713506400,97.28
1713510000,102.48
1713513600,116.93
1713517200,129.68
1713520800,120.65
1713524400,138.57
1713528000,138.54
1713531600,138.48
1713535200,117.84
1713538800,121.37
1713542400,120.95
1713546000,93.46
1713549600,92.38
1713553200,92.86
1713556800,130.92
1713560400,130.92
1713564000,130.92
1713567600,130.92
1713571200,130.92
1713574800,130.92
1713578400,131.11
1713582000,130.92
1713585600,130.92
1713589200,130.92
1713592800,160.70
1713596400,160.70
1713600000,160.70
1713603600,156.58
1713607200,158.23
1713610800,162.63
1713614400,158.50
1713618000,158.50
1713621600,158.50
1713625200,119.26
1713628800,131.15
1713632400,131.15
1713636000,131.33
1713639600,131.33
1713643200,131.33
1713646800,131.33
1713650400,131.33
1713654000,131.33
1713657600,131.33
1713661200,131.15
1713664800,131.15
1713668400,130.96
1713672000,130.96
1713675600,130.96
1713679200,130.96
1713682800,130.96
1713686400,130.96
1713690000,144.35
1713693600,144.35
1713697200,144.53
1713700800,144.53
1713704400,127.99
1713708000,125.60
1713711600,117.88
1713715200,131.48
1713718800,131.29
1713722400,131.10
1713726000,131.29
1713729600,131.10
1713733200,131.10
1713736800,131.10
1713740400,131.10
1713744000,146.78
1713747600,145.37
1713751200,145.25
1713754800,140.31
1713758400,130.73
1713762000,138.58
1713765600,141.54
1713769200,142.25
1713772800,142.31
1713776400,142.78
1713780000,156.03
1713783600,156.23
1713787200,156.23
1713790800,155.32
1713794400,155.32
1713798000,142.12
1713801600,159.63
1713805200,131.48
1713808800,131.48
1713812400,131.48
1713816000,131.48
1713819600,131.48
1713823200,141.65
1713826800,141.81
1713830400,188.25
1713834000,142.15
1713837600,133.68
1713841200,134.53
1713844800,130.92
1713848400,133.68
1713852000,136.09
1713855600,141.62
1713859200,146.73
1713862800,154.64
1713866400,160.42
1713870000,158.55
1713873600,157.47
1713877200,156.57
1713880800,156.57
1713884400,156.29
1713888000,116.44
1713891600,116.08
1713895200,113.42
1713898800,113.42
1713902400,113.42
1713906000,115.29
1713909600,139.87
1713913200,139.98
1713916800,150.91
1713920400,150.21
1713924000,158.95
1713927600,0.00
1713931200,0.00
1713934800,0.00
1713938400,0.00
1713942000,0.00
1713945600,135.60
1713949200,142.92
1713952800,145.83
1713956400,149.70
1713960000,146.55
1713963600,155.56
1713967200,159.03
1713970800,155.28
1713974400,141.90
1713978000,141.90
1713981600,141.87
1713985200,116.33
1713988800,141.88
1713992400,141.91
1713996000,151.19
1713999600,141.91
1714003200,153.56
1714006800,142.29
1714010400,0.00
1714014000,-79.32
1714017600,-79.32
1714021200,-2.00
1714024800,131.71
1714028400,131.71
1714032000,130.07
1714035600,135.85
1714039200,156.64
1714042800,157.05
1714046400,157.19
1714050000,156.36
1714053600,141.90
1714057200,141.90
1714060800,155.67
1714064400,118.84
1714068000,115.89
1714071600,113.96
1714075200,113.96
1714078800,116.18
1714082400,142.42
1714086000,142.40
1714089600,142.77
1714093200,143.46
1714096800,143.02
1714100400,142.94
1714104000,135.42
1714107600,142.58
1714111200,142.58
1714114800,136.02
1714118400,154.54
1714122000,154.54
1714125600,156.57
1714129200,156.65
1714132800,156.65
1714136400,156.60
1714140000,156.60
1714143600,156.32
1714147200,145.30
1714150800,145.16
1714154400,145.22
1714158000,116.87
1714161600,116.87
1714165200,145.26
1714168800,160.45
1714172400,162.15
1714176000,116.36
1714179600,0.00
1714183200,119.99
1714186800,117.90
1714190400,-79.32
1714194000,-2.00
1714197600,117.78
1714201200,117.90
1714204800,117.96
1714208400,116.30
1714212000,162.04
1714215600,155.81
1714219200,160.27
1714222800,155.81
1714226400,152.81
1714230000,152.73
1714233600,99.37
1714237200,85.80
1714240800,83.15
1714244400,83.15
1714248000,92.55
1714251600,99.37
1714255200,103.60
1714258800,100.07
1714262400,78.90
1714266000,94.12
1714269600,0.00
1714273200,-79.32
1714276800,-79.32
1714280400,-39.62
1714284000,99.76
1714287600,100.40
1714291200,100.69
1714294800,114.14
1714298400,161.92
1714302000,117.74
1714305600,162.25
1714309200,124.36
1714312800,103.63
1714316400,121.53
1714320000,97.91
1714323600,92.37
1714327200,92.37
1714330800,92.37
1714334400,101.40
1714338000,101.40
1714341600,101.40
1714345200,115.35
1714348800,159.18
1714352400,156.30
1714356000,188.25
1714359600,156.30
1714363200,154.81
1714366800,151.76
1714370400,155.33
1714374000,156.77
1714377600,159.18
1714381200,153.03
1714384800,153.11
1714388400,153.28
1714392000,153.28
1714395600,162.45
1714399200,153.60
1714402800,141.36
1714406400,129.76
1714410000,110.09
1714413600,103.86
1714417200,103.17
1714420800,103.86
1714424400,110.41
1714428000,129.76
1714431600,162.45
1714435200,164.89
1714438800,143.48
1714442400,129.76
1714446000,129.76
1714449600,102.72
1714453200,110.95
1714456800,129.76
1714460400,130.41
1714464000,141.00
1714467600,162.45
1714471200,162.45
1714474800,155.62
1714478400,155.62
1714482000,143.36
1714485600,143.14
1714489200,143.15
1714492800,141.27
1714496400,141.27
1714500000,141.25
1714503600,112.25
1714507200,113.60
1714510800,141.27
1714514400,141.27
1714518000,141.17
1714521600,103.13
1714525200,103.68
1714528800,111.57
1714532400,111.20
1714536000,103.27
1714539600,103.52
1714543200,110.00
1714546800,109.23
1714550400,103.24
1714554000,113.97
1714557600,149.45
1714561200,150.41
1714564800,150.49
1714568400,150.49
1714572000,150.49
1714575600,150.49
1714579200,137.12
1714582800,112.50
1714586400,137.11
1714590000,103.12
1714593600,137.03
1714597200,137.14
1714600800,137.14
1714604400,136.97
1714608000,137.11
1714611600,0.00
1714615200,0.00
1714618800,-79.06
1714622400,-79.06
1714626000,0.00
1714629600,0.00
1714633200,129.40
1714636800,142.87
1714640400,139.21
1714644000,144.28
1714647600,144.28
1714651200,150.79
1714654800,150.79
1714658400,150.87
1714662000,139.89
1714665600,137.55
1714669200,137.57
1714672800,137.57
1714676400,123.81
1714680000,125.86
1714683600,137.61
1714687200,137.57
1714690800,137.46
1714694400,137.65
1714698000,138.45
1714701600,0.00
1714705200,-79.06
1714708800,-79.06
1714712400,-2.00
1714716000,138.31
1714719600,138.24
1714723200,139.15
1714726800,139.19
1714730400,139.24
1714734000,148.73
1714737600,139.63
1714741200,149.52
1714744800,149.52
1714748400,149.60
1714752000,147.77
1714755600,147.77
1714759200,147.77
1714762800,147.77
1714766400,147.77
1714770000,147.77
1714773600,147.77
1714777200,147.53
1714780800,105.20
1714784400,0.00
