location,ts,cloud,temp,temp_max,temp_min,humidity,ground_press,wind_speed,wind_dir,rain,snow
Gaigeturi,1709368266,75.0,5.03,5.03,5.03,52.0,1021.0,2.57,230.0,0.0,0.0
Gaigeturi,1709370074,78.0,5.79,5.79,5.79,51.0,1022.0,4.79,277.0,0.0,0.0
Gaigeturi,1709371854,75.0,5.03,5.03,5.03,56.0,1021.0,3.09,180.0,0.0,0.0
Gaigeturi,1709373708,80.0,5.89,5.89,5.89,53.0,1022.0,5.03,263.0,0.0,0.0
Gaigeturi,1709375465,75.0,6.03,6.03,6.03,49.0,1021.0,2.57,250.0,0.0,0.0
Gaigeturi,1709377255,82.0,6.19,6.19,6.19,55.0,1023.0,5.68,254.0,0.0,0.0
Gaigeturi,1709379060,75.0,5.03,5.03,5.03,52.0,1021.0,4.12,210.0,0.0,0.0
Gaigeturi,1709380915,77.0,6.35,6.35,6.35,54.0,1023.0,5.68,251.0,0.0,0.0
Gaigeturi,1709382660,75.0,6.03,6.03,6.03,49.0,1022.0,4.63,210.0,0.0,0.0
Gaigeturi,1709384460,94.0,6.69,6.69,6.69,54.0,1023.0,6.35,254.0,0.0,0.0
Gaigeturi,1709386253,75.0,5.03,5.03,5.03,52.0,1022.0,3.09,220.0,0.0,0.0
Gaigeturi,1709388064,96.0,6.91,6.91,6.91,53.0,1023.0,6.74,256.0,0.0,0.0
Gaigeturi,1709389864,75.0,6.03,6.03,6.03,49.0,1021.0,4.12,210.0,0.0,0.0
Gaigeturi,1709391653,97.0,7.09,7.09,7.09,54.0,1022.0,7.22,259.0,0.0,0.0
Gaigeturi,1709393488,75.0,5.03,5.03,5.03,56.0,1021.0,3.6,220.0,0.0,0.0
Gaigeturi,1709395260,97.0,7.15,7.15,7.15,55.0,1022.0,7.45,259.0,0.0,0.0
Gaigeturi,1709397074,75.0,5.03,5.03,5.03,52.0,1022.0,4.63,210.0,0.0,0.0
Gaigeturi,1709398865,97.0,7.15,7.15,7.15,56.0,1022.0,7.49,260.0,0.0,0.0
Gaigeturi,1709400655,75.0,5.03,5.03,5.03,56.0,1022.0,4.12,220.0,0.0,0.0
Gaigeturi,1709402439,97.0,7.21,7.21,7.21,56.0,1022.0,7.27,261.0,0.0,0.0
Gaigeturi,1709404284,75.0,5.03,5.03,5.03,56.0,1022.0,4.12,220.0,0.0,0.0
Gaigeturi,1709406064,22.0,6.63,6.63,6.63,57.0,1022.0,6.74,264.0,0.0,0.0
Gaigeturi,1709407840,75.0,6.03,6.03,6.03,56.0,1021.0,3.6,220.0,0.0,0.0
Gaigeturi,1709409640,40.0,6.91,6.91,6.91,56.0,1021.0,5.85,265.0,0.0,0.0
Gaigeturi,1709411473,75.0,6.03,6.03,6.03,56.0,1021.0,3.09,250.0,0.0,0.0
Gaigeturi,1709413245,56.0,7.16,7.16,7.16,57.0,1021.0,5.61,264.0,0.0,0.0
Gaigeturi,1709415047,75.0,5.03,5.03,5.03,60.0,1021.0,4.12,200.0,0.0,0.0
Gaigeturi,1709416854,65.0,7.5,7.5,7.5,59.0,1021.0,6.23,269.0,0.0,0.0
Gaigeturi,1709418644,75.0,6.03,6.03,6.03,56.0,1021.0,4.12,210.0,0.0,0.0
Gaigeturi,1709420449,72.0,7.76,7.76,7.76,62.0,1022.0,6.26,266.0,0.0,0.0
Gaigeturi,1709422257,75.0,7.03,7.03,7.03,57.0,1021.0,4.63,210.0,0.0,0.0
Gaigeturi,1709424076,81.0,8.42,8.42,8.42,61.0,1022.0,6.45,262.0,0.0,0.0
Gaigeturi,1709425856,100.0,8.03,8.03,8.03,53.0,1021.0,4.63,210.0,0.0,0.0
Gaigeturi,1709427652,99.0,8.64,8.64,8.64,63.0,1023.0,6.73,260.0,0.0,0.0
Gaigeturi,1709429535,100.0,8.03,8.03,8.03,57.0,1022.0,3.09,220.0,0.0,0.0
Gaigeturi,1709431362,99.0,9.25,9.25,9.25,61.0,1023.0,7.22,264.0,0.0,0.0
Gaigeturi,1709433110,100.0,10.03,10.03,10.03,53.0,1022.0,5.14,250.0,0.0,0.0
Gaigeturi,1709434850,99.0,9.52,9.52,9.52,60.0,1022.0,7.39,268.0,0.0,0.0
Gaigeturi,1709436649,100.0,10.03,10.03,10.03,53.0,1022.0,6.17,250.0,0.33,0.0
Gaigeturi,1709438460,98.0,9.68,9.68,9.68,60.0,1022.0,6.24,265.0,0.68,0.0
Gaigeturi,1709440275,100.0,11.03,11.03,11.03,50.0,1021.0,5.66,270.0,0.0,0.0
Gaigeturi,1709442047,94.0,10.24,10.24,10.24,57.0,1021.0,6.65,261.0,0.0,0.0
Gaigeturi,1709443869,40.0,11.03,11.03,11.03,54.0,1020.0,6.69,270.0,0.0,0.0
Gaigeturi,1709445646,91.0,10.33,10.33,10.33,57.0,1021.0,7.73,266.0,0.0,0.0
Gaigeturi,1709447470,40.0,12.03,12.03,12.03,47.0,1020.0,6.17,260.0,0.0,0.0
Gaigeturi,1709449250,91.0,10.23,10.23,10.23,60.0,1021.0,7.84,268.0,0.0,0.0
Gaigeturi,1709451058,40.0,12.03,12.03,12.03,43.0,1020.0,5.66,270.0,0.0,0.0
Gaigeturi,1709452857,94.0,10.3,10.3,10.3,58.0,1021.0,6.94,270.0,0.0,0.0
Gaigeturi,1709454637,40.0,11.03,11.03,11.03,46.0,1020.0,6.17,270.0,0.0,0.0
Gaigeturi,1709456460,92.0,10.09,10.09,10.09,58.0,1021.0,6.87,275.0,0.0,0.0
Gaigeturi,1709458243,40.0,11.03,11.03,11.03,46.0,1020.0,5.14,280.0,0.0,0.0
Gaigeturi,1709460054,93.0,9.95,9.95,9.95,59.0,1021.0,5.62,277.0,0.0,0.0
Gaigeturi,1709461848,40.0,10.03,10.03,10.03,50.0,1020.0,3.6,260.0,0.0,0.0
Gaigeturi,1709463661,93.0,10.06,10.06,10.06,58.0,1021.0,4.98,274.0,0.0,0.0
Gaigeturi,1709465437,20.0,8.03,8.03,8.03,61.0,1021.0,4.12,200.0,0.0,0.0
Gaigeturi,1709467260,83.0,10.06,10.06,10.06,58.0,1022.0,4.13,267.0,0.0,0.0
Gaigeturi,1709469069,20.0,7.03,7.03,7.03,61.0,1021.0,4.12,200.0,0.0,0.0
Gaigeturi,1709470847,75.0,10.14,10.14,10.14,56.0,1022.0,3.78,269.0,0.0,0.0
Gaigeturi,1709472648,75.0,8.03,8.03,8.03,57.0,1021.0,4.12,200.0,0.0,0.0
Gaigeturi,1709474441,62.0,10.04,10.04,10.04,57.0,1022.0,3.54,264.0,0.0,0.0
Gaigeturi,1709476255,75.0,8.03,8.03,8.03,61.0,1021.0,3.6,190.0,0.0,0.0
Gaigeturi,1709478059,75.0,9.98,9.98,9.98,58.0,1023.0,3.65,259.0,0.0,0.0
Gaigeturi,1709479842,75.0,8.03,8.03,8.03,61.0,1022.0,4.12,190.0,0.0,0.0
Gaigeturi,1709481661,81.0,9.95,9.95,9.95,59.0,1023.0,3.37,248.0,0.0,0.0
Gaigeturi,1709483474,75.0,8.03,8.03,8.03,61.0,1022.0,3.6,190.0,0.0,0.0
Gaigeturi,1709485269,84.0,9.8,9.8,9.8,60.0,1022.0,3.22,237.0,0.0,0.0
Gaigeturi,1709487054,75.0,8.03,8.03,8.03,57.0,1022.0,3.6,180.0,0.0,0.0
Gaigeturi,1709488842,78.0,9.59,9.59,9.59,61.0,1022.0,2.97,227.0,0.0,0.0
Gaigeturi,1709490673,75.0,7.03,7.03,7.03,61.0,1022.0,3.6,180.0,0.0,0.0
Gaigeturi,1709492463,100.0,9.05,9.05,9.05,62.0,1022.0,2.07,212.0,0.0,0.0
Gaigeturi,1709494253,75.0,7.03,7.03,7.03,61.0,1022.0,3.6,170.0,0.0,0.0
Gaigeturi,1709496048,100.0,9.01,9.01,9.01,63.0,1022.0,2.05,195.0,0.0,0.0
Gaigeturi,1709497862,75.0,7.03,7.03,7.03,61.0,1022.0,3.6,170.0,0.0,0.0
Gaigeturi,1709499656,95.0,8.8,8.8,8.8,63.0,1022.0,2.15,163.0,0.0,0.0
Gaigeturi,1709501450,75.0,6.03,6.03,6.03,61.0,1022.0,2.57,160.0,0.0,0.0
Gaigeturi,1709503251,95.0,8.82,8.82,8.82,63.0,1022.0,2.17,124.0,0.0,0.0
Gaigeturi,1709505038,75.0,6.03,6.03,6.03,61.0,1022.0,3.09,160.0,0.0,0.0
Gaigeturi,1709506863,96.0,9.07,9.07,9.07,62.0,1022.0,2.46,112.0,0.0,0.0
Gaigeturi,1709508636,75.0,8.03,8.03,8.03,57.0,1022.0,2.06,160.0,0.0,0.0
Gaigeturi,1709510476,97.0,10.17,10.17,10.17,58.0,1022.0,2.93,101.0,0.0,0.0
Gaigeturi,1709512258,40.0,10.03,10.03,10.03,50.0,1022.0,1.03,10.0,0.0,0.0
Gaigeturi,1709514058,100.0,10.8,10.8,10.8,55.0,1022.0,2.41,119.0,0.0,0.0
Gaigeturi,1709515933,75.0,12.03,12.03,12.03,47.0,1022.0,2.06,230.0,0.0,0.0
Gaigeturi,1709517755,100.0,11.34,11.34,11.34,54.0,1022.0,2.18,112.0,0.0,0.0
Gaigeturi,1709519492,75.0,14.03,14.03,14.03,47.0,1021.0,6.69,100.0,0.0,0.0
Gaigeturi,1709521244,100.0,11.98,11.98,11.98,53.0,1021.0,2.14,89.0,0.0,0.0
Gaigeturi,1709523059,75.0,15.03,15.03,15.03,44.0,1020.0,3.09,170.0,0.0,0.0
Gaigeturi,1709524839,100.0,12.5,12.5,12.5,52.0,1020.0,1.7,88.0,0.0,0.0
Gaigeturi,1709526660,75.0,14.03,14.03,14.03,41.0,1019.0,4.12,270.0,0.0,0.0
Gaigeturi,1709528515,100.0,12.75,12.75,12.75,52.0,1018.0,2.5,92.0,0.0,0.0
Gaigeturi,1709530256,100.0,13.03,13.03,13.03,50.0,1018.0,3.09,280.0,0.0,0.0
Gaigeturi,1709532043,100.0,12.44,12.44,12.44,56.0,1017.0,2.76,135.0,0.17,0.0
Gaigeturi,1709533877,100.0,13.03,13.03,13.03,50.0,1018.0,0.51,230.0,0.0,0.0
Gaigeturi,1709535662,100.0,11.81,11.81,11.81,64.0,1017.0,2.5,130.0,1.12,0.0
Gaigeturi,1709537457,100.0,12.03,12.03,12.03,58.0,1018.0,2.57,200.0,1.59,0.0
Gaigeturi,1709539248,100.0,11.11,11.11,11.11,73.0,1018.0,1.09,78.0,0.87,0.0
Gaigeturi,1709541081,100.0,11.03,11.03,11.03,71.0,1017.0,4.12,80.0,0.97,0.0
Gaigeturi,1709542863,100.0,10.36,10.36,10.36,80.0,1017.0,2.4,99.0,3.26,0.0
Gaigeturi,1709544665,100.0,10.03,10.03,10.03,81.0,1016.0,8.23,90.0,0.49,0.0
Gaigeturi,1709546441,100.0,10.25,10.25,10.25,83.0,1017.0,2.93,93.0,1.42,0.0
Gaigeturi,1709548259,100.0,10.03,10.03,10.03,81.0,1016.0,6.69,90.0,1.78,0.0
Gaigeturi,1709550060,100.0,10.29,10.29,10.29,87.0,1017.0,4.24,84.0,3.46,0.0
Gaigeturi,1709551838,100.0,10.03,10.03,10.03,81.0,1017.0,2.06,100.0,1.95,0.0
Gaigeturi,1709553664,100.0,10.45,10.45,10.45,88.0,1016.0,5.59,109.0,0.63,0.0
Gaigeturi,1709555478,100.0,10.03,10.03,10.03,87.0,1015.0,8.23,100.0,0.83,0.0
Gaigeturi,1709557263,100.0,11.13,11.13,11.13,86.0,1015.0,6.84,93.0,1.48,0.0
Gaigeturi,1709559113,100.0,11.03,11.03,11.03,82.0,1015.0,9.77,100.0,2.73,0.0
Gaigeturi,1709560853,100.0,11.28,11.28,11.28,85.0,1015.0,8.06,90.0,2.92,0.0
Gaigeturi,1709562713,100.0,10.03,10.03,10.03,93.0,1014.0,10.29,80.0,1.69,0.0
Gaigeturi,1709564451,100.0,11.25,11.25,11.25,85.0,1014.0,7.75,93.0,0.96,0.0
Gaigeturi,1709566241,100.0,10.03,10.03,10.03,87.0,1013.0,11.32,90.0,0.11,0.0
Gaigeturi,1709568067,100.0,11.23,11.23,11.23,83.0,1014.0,7.78,88.0,0.0,0.0
Gaigeturi,1709569851,100.0,10.03,10.03,10.03,87.0,1012.0,14.4,80.0,0.0,0.0
Gaigeturi,1709571667,100.0,11.07,11.07,11.07,86.0,1014.0,8.71,92.0,0.0,0.0
Gaigeturi,1709573434,100.0,11.03,11.03,11.03,82.0,1011.0,13.38,80.0,0.0,0.0
Gaigeturi,1709575240,100.0,11.5,11.5,11.5,84.0,1013.0,8.23,95.0,0.0,0.0
Gaigeturi,1709577092,100.0,11.03,11.03,11.03,82.0,1010.0,11.83,90.0,0.0,0.0
Gaigeturi,1709578862,100.0,12.08,12.08,12.08,85.0,1010.0,8.43,92.0,0.0,0.0
Gaigeturi,1709580644,100.0,12.03,12.03,12.03,82.0,1009.0,11.83,90.0,0.0,0.0
Gaigeturi,1709582439,100.0,12.26,12.26,12.26,84.0,1010.0,8.07,91.0,0.41,0.0
Gaigeturi,1709584237,100.0,12.28,12.28,12.28,85.0,1010.0,8.36,89.0,0.0,0.0
Gaigeturi,1709586046,100.0,12.28,12.28,12.28,85.0,1010.0,8.36,89.0,0.0,0.0
Gaigeturi,1709587863,100.0,12.31,12.31,12.31,85.0,1010.0,9.09,87.0,0.0,0.0
Gaigeturi,1709589661,100.0,12.31,12.31,12.31,85.0,1010.0,9.09,87.0,0.0,0.0
Gaigeturi,1709591466,100.0,12.35,12.35,12.35,85.0,1010.0,10.44,86.0,0.0,0.0
Gaigeturi,1709593264,100.0,12.35,12.35,12.35,85.0,1010.0,10.44,86.0,0.12,0.0
Gaigeturi,1709595065,100.0,11.03,11.03,11.03,93.0,1009.0,9.77,80.0,0.0,0.0
Gaigeturi,1709596863,100.0,12.55,12.55,12.55,85.0,1009.0,11.38,89.0,0.0,0.0
Gaigeturi,1709598689,100.0,11.03,11.03,11.03,93.0,1009.0,9.77,80.0,0.0,0.0
Gaigeturi,1709600439,100.0,12.77,12.77,12.77,85.0,1009.0,10.59,83.0,0.0,0.0
Gaigeturi,1709602357,100.0,11.03,11.03,11.03,93.0,1009.0,8.23,80.0,0.0,0.0
Gaigeturi,1709604114,100.0,12.03,12.03,12.03,87.0,1008.0,9.26,80.0,0.0,0.0
Gaigeturi,1709605899,100.0,12.03,12.03,12.03,87.0,1008.0,10.29,80.0,0.21,0.0
Gaigeturi,1709607648,100.0,12.03,12.03,12.03,87.0,1008.0,8.75,70.0,0.42,0.0
Gaigeturi,1709609453,100.0,12.03,12.03,12.03,94.0,1008.0,8.75,80.0,0.22,0.0
Gaigeturi,1709611244,100.0,12.71,12.71,12.71,87.0,1007.0,10.72,83.0,1.84,0.0
Gaigeturi,1709613073,100.0,11.03,11.03,11.03,93.0,1007.0,10.29,80.0,1.23,0.0
Gaigeturi,1709614850,100.0,11.03,11.03,11.03,93.0,1007.0,10.29,80.0,1.97,0.0
Gaigeturi,1709616670,100.0,11.03,11.03,11.03,93.0,1007.0,8.75,90.0,2.66,0.0
Gaigeturi,1709618463,100.0,11.03,11.03,11.03,93.0,1006.0,8.75,80.0,1.89,0.0
Gaigeturi,1709620252,100.0,11.03,11.03,11.03,93.0,1006.0,8.75,80.0,1.89,0.0
Gaigeturi,1709622069,100.0,11.03,11.03,11.03,93.0,1007.0,9.26,90.0,1.78,0.0
Gaigeturi,1709623855,100.0,11.03,11.03,11.03,93.0,1006.0,8.23,90.0,0.69,0.0
Gaigeturi,1709625646,100.0,11.13,11.13,11.13,89.0,1007.0,12.8,56.0,0.92,0.0
Gaigeturi,1709627463,100.0,11.03,11.03,11.03,87.0,1007.0,9.77,80.0,1.15,0.0
Gaigeturi,1709629272,100.0,10.51,10.51,10.51,89.0,1008.0,12.83,55.0,1.15,0.0
Gaigeturi,1709631045,100.0,11.03,11.03,11.03,87.0,1007.0,8.75,80.0,0.16,0.0
Gaigeturi,1709632851,100.0,10.5,10.5,10.5,87.0,1009.0,12.54,61.0,0.42,0.0
Gaigeturi,1709634656,100.0,10.03,10.03,10.03,93.0,1008.0,8.23,90.0,0.24,0.0
Gaigeturi,1709636529,100.0,10.69,10.69,10.69,85.0,1010.0,12.08,61.0,0.24,0.0
Gaigeturi,1709638249,100.0,10.03,10.03,10.03,93.0,1009.0,7.2,90.0,0.89,0.0
Gaigeturi,1709640077,100.0,10.77,10.77,10.77,83.0,1010.0,10.92,68.0,0.56,0.0
Gaigeturi,1709641866,100.0,10.03,10.03,10.03,93.0,1010.0,8.75,80.0,0.42,0.0
Gaigeturi,1709643667,100.0,10.03,10.03,10.03,93.0,1010.0,8.75,80.0,0.0,0.0
Gaigeturi,1709645471,100.0,10.03,10.03,10.03,93.0,1010.0,8.23,80.0,0.0,0.0
Gaigeturi,1709647240,100.0,10.7,10.7,10.7,85.0,1010.0,10.58,58.0,0.12,0.0
Gaigeturi,1709649077,100.0,10.03,10.03,10.03,87.0,1010.0,6.17,100.0,0.0,0.0
Gaigeturi,1709650877,100.0,10.7,10.7,10.7,83.0,1010.0,10.18,59.0,0.14,0.0
Gaigeturi,1709652669,100.0,10.03,10.03,10.03,87.0,1011.0,5.66,100.0,0.62,0.0
Gaigeturi,1709654489,100.0,10.64,10.64,10.64,82.0,1012.0,9.25,53.0,0.13,0.0
Gaigeturi,1709656268,100.0,10.03,10.03,10.03,81.0,1010.0,8.23,60.0,0.35,0.0
Gaigeturi,1709658075,100.0,10.58,10.58,10.58,82.0,1012.0,9.55,54.0,0.0,0.0
Gaigeturi,1709659854,100.0,10.03,10.03,10.03,76.0,1011.0,7.2,70.0,0.0,0.0
Gaigeturi,1709661646,100.0,10.64,10.64,10.64,81.0,1012.0,9.12,56.0,0.23,0.0
Gaigeturi,1709663477,100.0,10.03,10.03,10.03,76.0,1011.0,7.2,80.0,0.0,0.0
Gaigeturi,1709665270,100.0,10.62,10.62,10.62,81.0,1012.0,9.16,51.0,0.0,0.0
Gaigeturi,1709667044,100.0,10.03,10.03,10.03,76.0,1011.0,6.69,60.0,0.0,0.0
Gaigeturi,1709668840,100.0,10.45,10.45,10.45,81.0,1012.0,9.21,48.0,0.0,0.0
Gaigeturi,1709670652,100.0,10.03,10.03,10.03,76.0,1011.0,6.17,60.0,0.0,0.0
Gaigeturi,1709672452,100.0,10.48,10.48,10.48,79.0,1012.0,8.8,52.0,0.0,0.0
Gaigeturi,1709674309,100.0,10.03,10.03,10.03,76.0,1012.0,6.69,50.0,0.0,0.0
Gaigeturi,1709676067,100.0,10.52,10.52,10.52,77.0,1013.0,8.3,49.0,0.0,0.0
Gaigeturi,1709677901,100.0,10.03,10.03,10.03,71.0,1013.0,6.17,50.0,0.0,0.0
