ts,실시간 임시 가격(원/kWh),실시간 확정 가격(원/kWh)
1709391600,169.30,140.94
1709392500,174.15,169.35
1709393400,171.71,166.79
1709394300,171.01,166.03
1709395200,166.05,165.51
1709396100,100.21,100.21
1709397000,100.21,100.21
1709397900,100.21,100.21
1709398800,100.21,100.21
1709399700,82.66,82.66
1709400600,326.73,250.03
1709401500,326.60,250.03
1709402400,82.66,82.66
1709403300,176.10,142.25
1709404200,174.15,141.29
1709405100,170.07,138.53
1709406000,175.18,140.13
1709406900,173.98,138.32
1709407800,174.88,139.40
1709408700,173.44,137.85
1709409600,82.66,82.66
1709410500,99.15,99.15
1709411400,99.15,99.15
1709412300,99.15,99.15
1709413200,99.15,99.15
1709414100,105.80,105.80
1709415000,105.80,105.80
1709415900,105.80,105.80
1709416800,105.80,105.80
1709417700,107.39,107.39
1709418600,181.89,138.50
1709419500,181.64,138.17
1709420400,107.39,107.39
1709421300,95.99,95.99
1709422200,95.99,95.99
1709423100,95.99,95.99
1709424000,95.99,95.99
1709424900,107.39,107.39
1709425800,0.00,0.00
1709426700,0.00,0.00
1709427600,107.39,107.39
1709428500,0.00,0.00
1709429400,0.00,0.00
1709430300,100.21,100.21
1709431200,100.21,100.21
1709432100,104.76,104.76
1709433000,104.76,104.76
1709433900,104.76,104.76
1709434800,0.00,0.00
1709435700,0.00,0.00
1709436600,95.93,95.93
1709437500,95.93,95.93
1709438400,95.93,95.93
1709439300,95.93,95.93
1709440200,95.93,95.93
1709441100,95.93,95.93
1709442000,-19.00,-19.00
1709442900,0.00,0.00
1709443800,0.00,0.00
1709444700,0.00,0.00
1709445600,95.68,95.68
1709446500,95.70,95.70
1709447400,95.70,95.70
1709448300,95.70,95.70
1709449200,95.70,95.70
1709450100,95.94,95.94
1709451000,95.94,95.94
1709451900,95.94,95.94
1709452800,95.94,95.94
1709453700,96.31,96.31
1709454600,96.31,96.31
1709455500,96.31,96.31
1709456400,96.31,96.31
1709457300,107.21,107.21
1709458200,107.21,107.21
1709459100,107.21,107.21
1709460000,168.18,136.96
1709460900,169.86,138.21
1709461800,169.82,138.21
1709462700,169.83,137.72
1709463600,169.16,140.08
1709464500,324.16,250.03
1709465400,323.98,251.39
1709466300,169.12,169.12
1709467200,322.97,248.04
1709468100,325.76,268.45
1709469000,325.75,269.42
1709469900,172.43,169.12
1709470800,171.99,169.12
1709471700,172.13,169.12
1709472600,325.80,255.56
1709473500,169.30,169.12
1709474400,169.12,169.12
1709475300,168.99,168.99
1709476200,169.12,141.75
1709477100,169.12,141.95
1709478000,169.12,141.95
1709478900,172.09,168.06
1709479800,168.40,166.53
1709480700,167.37,165.74
1709481600,165.08,163.39
1709482500,159.25,159.60
1709483400,162.24,161.04
1709484300,86.82,86.82
1709485200,86.82,86.82
1709486100,80.97,80.97
1709487000,80.97,80.97
1709487900,80.97,80.97
1709488800,80.97,80.97
1709489700,323.67,250.03
1709490600,325.55,255.56
1709491500,80.97,80.97
1709492400,80.97,80.97
1709493300,80.97,80.97
1709494200,80.97,80.97
1709495100,80.97,80.97
1709496000,80.97,80.97
1709496900,81.81,81.81
1709497800,163.78,162.37
1709498700,164.50,163.64
1709499600,164.72,163.81
1709500500,167.94,167.51
1709501400,169.05,168.92
1709502300,169.23,168.76
1709503200,172.59,172.60
1709504100,172.76,172.60
1709505000,172.77,172.60
1709505900,172.76,172.60
1709506800,170.66,170.65
1709507700,173.82,173.82
1709508600,173.82,173.82
1709509500,173.82,173.82
1709510400,173.82,173.82
1709511300,175.21,175.21
1709512200,175.21,175.21
1709513100,175.21,175.21
1709514000,175.21,175.21
1709514900,165.36,160.61
1709515800,160.61,160.61
1709516700,160.61,160.61
1709517600,160.61,160.61
1709518500,154.06,154.06
1709519400,154.06,154.06
1709520300,154.06,154.06
1709521200,154.06,154.06
1709522100,146.22,146.22
1709523000,146.22,146.22
1709523900,0.00,0.00
1709524800,-19.00,-19.00
1709525700,0.00,0.00
1709526600,150.25,150.25
1709527500,150.25,150.25
1709528400,150.25,150.25
1709529300,149.63,149.63
1709530200,149.63,149.63
1709531100,149.63,149.63
1709532000,149.63,149.63
1709532900,149.63,149.63
1709533800,149.63,149.63
1709534700,149.63,149.63
1709535600,149.63,149.63
1709536500,168.89,171.45
1709537400,168.89,171.45
1709538300,168.70,171.45
1709539200,169.00,171.66
1709540100,173.90,172.15
1709541000,173.90,172.15
1709541900,173.90,172.15
1709542800,174.67,172.15
1709543700,174.76,172.46
1709544600,174.76,172.46
1709545500,174.76,172.46
1709546400,174.76,172.46
1709547300,174.76,172.64
1709548200,174.76,172.64
1709549100,174.76,172.64
1709550000,174.76,172.64
1709550900,174.67,172.33
1709551800,174.67,172.33
1709552700,174.67,172.33
1709553600,174.67,172.33
1709554500,131.05,131.05
1709555400,131.05,131.05
1709556300,131.05,131.05
1709557200,131.05,131.05
1709558100,107.12,107.12
1709559000,107.12,107.12
1709559900,107.12,107.12
1709560800,107.12,107.12
1709561700,107.12,107.12
1709562600,107.12,107.12
1709563500,107.12,107.12
1709564400,107.12,107.12
1709565300,100.13,100.13
1709566200,100.13,100.13
1709567100,255.56,255.56
1709568000,250.03,250.03
1709568900,94.80,94.80
1709569800,94.80,94.80
1709570700,94.80,94.80
1709571600,94.80,94.80
1709572500,94.80,94.80
1709573400,94.80,94.80
1709574300,94.80,94.80
1709575200,94.80,94.80
1709576100,94.80,94.80
1709577000,94.80,94.80
1709577900,94.80,94.80
1709578800,94.80,94.80
1709579700,94.80,94.80
1709580600,94.80,94.80
1709581500,94.80,94.80
1709582400,94.80,94.80
1709583300,94.80,94.80
1709584200,94.80,94.80
1709585100,94.80,94.80
1709586000,94.80,94.80
1709586900,105.85,105.85
1709587800,105.85,105.85
1709588700,105.85,105.85
1709589600,105.85,105.85
1709590500,107.38,107.38
1709591400,165.39,170.79
1709592300,107.38,107.38
1709593200,165.63,170.79
1709594100,164.94,167.29
1709595000,164.89,167.29
1709595900,164.84,167.29
1709596800,167.73,167.29
1709597700,177.25,177.25
1709598600,177.25,177.25
1709599500,177.25,177.25
1709600400,177.25,177.25
1709601300,166.70,167.29
1709602200,166.93,170.79
1709603100,166.85,164.83
1709604000,165.11,164.83
1709604900,165.16,164.83
1709605800,165.11,164.83
1709606700,165.11,164.83
1709607600,165.11,164.83
1709608500,162.44,162.15
1709609400,162.44,162.15
1709610300,162.44,162.15
1709611200,162.44,162.15
1709612100,165.11,164.83
1709613000,165.11,164.83
1709613900,165.11,164.83
1709614800,168.76,164.83
1709615700,166.08,162.15
1709616600,166.11,162.15
1709617500,166.11,162.15
1709618400,157.40,157.40
1709619300,162.57,162.57
1709620200,162.57,162.57
1709621100,162.57,162.57
1709622000,162.57,162.57
1709622900,157.46,157.20
1709623800,157.41,157.20
1709624700,157.36,157.20
1709625600,157.31,157.20
1709626500,157.27,157.20
1709627400,157.22,157.20
1709628300,153.80,153.80
1709629200,170.17,169.35
1709630100,170.17,169.35
1709631000,170.17,169.35
1709631900,170.17,169.35
1709632800,170.17,169.35
1709633700,170.17,169.35
1709634600,170.60,170.38
1709635500,170.53,170.38
1709636400,170.38,170.38
1709637300,170.56,170.56
1709638200,170.56,170.56
1709639100,170.56,170.56
1709640000,170.56,170.56
1709640900,170.56,170.56
1709641800,170.56,170.56
1709642700,170.56,170.56
1709643600,170.56,170.56
1709644500,131.23,131.23
1709645400,131.23,131.23
1709646300,131.23,131.23
1709647200,131.23,131.23
1709648100,131.19,131.19
1709649000,131.19,131.19
1709649900,131.19,131.19
1709650800,131.19,131.19
1709651700,107.38,107.38
1709652600,107.38,107.38
1709653500,107.38,107.38
1709654400,107.38,107.38
1709655300,95.03,95.03
1709656200,95.03,95.03
1709657100,95.03,95.03
1709658000,95.03,95.03
1709658900,94.64,94.64
1709659800,94.64,94.64
1709660700,94.64,94.64
1709661600,94.64,94.64
1709662500,94.64,94.64
1709663400,94.64,94.64
1709664300,94.64,94.64
1709665200,94.64,94.64
1709666100,94.36,94.36
1709667000,94.36,94.36
1709667900,94.36,94.36
1709668800,94.36,94.36
1709669700,94.73,94.73
1709670600,94.73,94.73
1709671500,94.73,94.73
1709672400,94.73,94.73
1709673300,108.17,108.17
1709674200,108.17,108.17
1709675100,108.17,108.17
1709676000,108.17,108.17
1709676900,168.75,169.47
1709677800,168.75,169.47
1709678700,168.75,169.47
1709679600,165.77,169.47
1709680500,171.11,171.20
1709681400,171.11,171.20
1709682300,171.11,171.20
1709683200,171.11,171.20
1709684100,172.44,172.44
1709685000,172.44,172.44
1709685900,172.44,172.44
1709686800,172.44,172.44
1709687700,169.45,169.95
1709688600,169.49,169.95
1709689500,169.52,169.95
1709690400,169.55,169.95
1709691300,169.59,169.95
1709692200,166.44,168.56
1709693100,169.93,169.95
1709694000,168.75,169.73
1709694900,170.33,170.74
1709695800,169.12,167.76
1709696700,0.00,0.00
1709697600,162.72,164.51
1709698500,165.33,167.54
1709699400,165.62,167.39
1709700300,164.09,166.44
1709701200,169.27,170.74
1709702100,165.13,166.28
1709703000,0.00,0.00
1709703900,0.00,0.00
1709704800,167.37,167.91
1709705700,0.00,0.00
1709706600,0.00,0.00
1709707500,166.52,167.22
1709708400,167.05,167.22
1709709300,167.05,167.22
1709710200,167.05,167.22
1709711100,167.05,167.22
1709712000,167.05,167.22
1709712900,167.05,167.22
1709713800,167.05,167.22
1709714700,167.05,167.22
1709715600,167.05,167.22
1709716500,167.05,167.22
1709717400,167.05,167.22
1709718300,167.05,167.22
1709719200,167.05,167.22
1709720100,167.05,167.22
1709721000,167.05,167.22
1709721900,167.05,167.22
1709722800,167.05,167.22
1709723700,167.05,167.22
1709724600,167.05,167.22
1709725500,167.05,167.22
1709726400,167.05,167.22
1709727300,167.05,167.22
1709728200,167.05,167.22
1709729100,167.05,167.22
1709730000,167.05,167.22
1709730900,167.05,167.22
1709731800,167.22,167.22
1709732700,167.22,167.22
1709733600,167.22,167.22
1709734500,167.22,167.22
1709735400,167.22,167.22
1709736300,167.22,167.22
1709737200,152.35,152.35
1709738100,107.31,107.31
1709739000,107.31,107.31
1709739900,107.31,107.31
1709740800,107.31,107.31
1709741700,94.48,94.48
1709742600,94.48,94.48
1709743500,94.48,94.48
1709744400,94.48,94.48
1709745300,90.83,90.83
1709746200,90.83,90.83
1709747100,90.83,90.83
1709748000,90.83,90.83
1709748900,90.83,90.83
1709749800,90.83,90.83
1709750700,90.83,90.83
1709751600,90.83,90.83
1709752500,90.83,90.83
1709753400,90.83,90.83
1709754300,90.83,90.83
1709755200,90.83,90.83
1709756100,95.00,95.00
1709757000,95.00,95.00
1709757900,0.00,0.00
1709758800,0.00,0.00
1709759700,108.17,108.17
1709760600,0.00,0.00
1709761500,0.00,0.00
1709762400,108.17,108.17
1709763300,108.69,108.69
1709764200,108.69,108.69
1709765100,108.69,108.69
1709766000,108.69,108.69
1709766900,179.06,177.29
1709767800,178.65,177.29
1709768700,178.53,177.29
1709769600,178.73,176.93
1709770500,0.00,0.00
1709771400,179.82,179.82
1709772300,179.82,179.82
1709773200,179.82,179.82
1709774100,0.00,0.00
1709775000,-1.00,-1.00
1709775900,-19.00,-19.00
1709776800,-77.94,-77.94
1709777700,-77.94,-77.94
1709778600,-19.00,-19.00
1709779500,-8.00,-8.00
1709780400,-2.00,-2.00
1709781300,-19.00,-19.00
1709782200,-1.00,-1.00
1709783100,0.00,0.00
1709784000,154.48,154.48
1709784900,159.69,159.69
1709785800,159.69,159.69
1709786700,159.69,159.69
1709787600,159.69,159.69
1709788500,154.67,154.67
1709789400,154.67,154.67
1709790300,154.67,154.67
1709791200,154.67,154.67
1709792100,145.83,145.83
1709793000,145.83,145.83
1709793900,145.83,145.83
1709794800,145.83,145.83
1709795700,145.83,145.83
1709796600,145.83,145.83
1709797500,0.00,0.00
1709798400,169.37,169.37
1709799300,170.03,170.03
1709800200,170.03,170.03
1709801100,170.03,170.03
1709802000,170.03,170.03
1709802900,170.03,170.03
1709803800,170.03,170.03
1709804700,170.03,170.03
1709805600,170.03,170.03
1709806500,145.07,145.07
1709807400,145.07,145.07
1709808300,145.07,145.07
1709809200,145.07,145.07
1709810100,148.60,148.60
1709811000,148.60,148.60
1709811900,148.60,148.60
1709812800,148.60,148.60
1709813700,170.03,170.03
1709814600,170.03,170.03
1709815500,170.03,170.03
1709816400,170.03,170.03
1709817300,131.20,131.20
1709818200,131.20,131.20
1709819100,131.20,131.20
1709820000,131.20,131.20
1709820900,131.94,131.94
1709821800,131.94,131.94
1709822700,131.94,131.94
1709823600,131.94,131.94
1709824500,108.22,108.22
1709825400,108.22,108.22
1709826300,108.22,108.22
1709827200,108.22,108.22
1709828100,261.14,261.14
1709829000,273.55,279.08
1709829900,268.05,273.65
1709830800,271.39,273.36
1709831700,256.25,256.25
1709832600,266.47,267.64
1709833500,266.67,267.64
1709834400,274.35,267.64
1709835300,280.19,273.36
1709836200,262.14,263.41
1709837100,274.44,267.64
1709838000,277.40,267.64
1709838900,277.21,267.64
1709839800,277.19,267.64
1709840700,169.25,170.58
1709841600,166.64,167.74
1709842500,172.19,170.66
1709843400,172.67,170.66
1709844300,255.25,255.25
1709845200,170.80,170.66
1709846100,271.08,267.53
1709847000,271.17,269.71
1709847900,272.83,269.71
1709848800,297.40,275.43
1709849700,297.81,275.43
1709850600,271.41,267.53
1709851500,271.47,267.53
1709852400,252.42,252.42
1709853300,168.24,170.66
1709854200,168.12,170.66
1709855100,158.75,158.25
1709856000,167.53,169.91
1709856900,163.53,166.29
1709857800,164.25,166.67
1709858700,165.05,167.53
1709859600,0.00,0.00
1709860500,0.00,0.00
1709861400,-75.32,-75.32
1709862300,-75.32,-75.32
1709863200,-77.94,-77.94
1709864100,158.96,158.96
1709865000,158.96,158.96
1709865900,0.00,0.00
1709866800,-1.00,-1.00
1709867700,-1.00,-1.00
1709868600,-1.00,-1.00
1709869500,0.00,0.00
1709870400,0.00,0.00
1709871300,0.00,0.00
1709872200,0.00,0.00
1709873100,-1.00,-1.00
1709874000,-7.00,-7.00
1709874900,-3.00,-3.00
1709875800,0.00,0.00
1709876700,0.00,0.00
1709877600,0.00,0.00
1709878500,159.69,159.69
1709879400,159.69,159.69
1709880300,-77.94,0.00
1709881200,159.69,159.69
1709882100,-75.32,-75.32
1709883000,-75.32,-75.32
1709883900,-19.00,-19.00
1709884800,-19.00,-19.00
1709885700,-19.00,-19.00
1709886600,-1.00,-1.00
1709887500,0.00,0.00
1709888400,0.00,0.00
1709889300,172.08,172.82
1709890200,173.25,174.07
1709891100,173.18,174.07
1709892000,173.10,174.07
1709892900,173.03,174.07
1709893800,173.15,174.07
1709894700,173.27,174.07
1709895600,173.39,174.07
1709896500,173.51,174.07
1709897400,173.80,174.07
1709898300,174.07,174.07
1709899200,174.32,174.07
1709900100,108.69,108.69
1709901000,108.69,108.69
1709901900,108.69,108.69
1709902800,108.69,108.69
1709903700,109.48,109.48
1709904600,109.48,109.48
1709905500,109.48,109.48
1709906400,109.48,109.48
1709907300,120.38,120.38
1709908200,120.38,120.38
1709909100,120.38,120.38
1709910000,120.38,120.38
1709910900,170.12,167.43
1709911800,170.12,167.43
1709912700,170.12,167.43
1709913600,169.55,167.43
1709914500,110.46,110.46
1709915400,110.46,110.46
1709916300,110.46,110.46
1709917200,110.46,110.46
1709918100,110.46,110.46
1709919000,110.46,110.46
1709919900,110.46,110.46
1709920800,110.46,110.46
1709921700,109.16,109.16
1709922600,109.16,109.16
1709923500,109.16,109.16
1709924400,109.16,109.16
1709925300,110.73,110.73
1709926200,110.73,110.73
1709927100,110.73,110.73
1709928000,110.73,110.73
1709928900,110.73,110.73
1709929800,110.73,110.73
1709930700,110.73,110.73
1709931600,110.73,110.73
1709932500,169.40,167.43
1709933400,169.48,167.43
1709934300,169.61,167.43
1709935200,169.61,167.43
1709936100,169.61,167.43
1709937000,169.61,167.43
1709937900,169.61,167.43
1709938800,169.61,167.43
1709939700,110.73,110.73
1709940600,110.73,110.73
1709941500,110.73,110.73
1709942400,110.73,110.73
1709943300,110.46,110.46
1709944200,0.00,0.00
1709945100,0.00,0.00
1709946000,0.00,0.00
1709946900,100.55,100.55
1709947800,100.55,100.55
1709948700,100.55,100.55
1709949600,100.55,100.55
1709950500,0.00,0.00
1709951400,0.00,0.00
1709952300,-1.00,-1.00
1709953200,-1.00,-1.00
1709954100,-19.00,-19.00
1709955000,-19.00,-19.00
1709955900,-19.00,-19.00
1709956800,-19.00,-19.00
1709957700,-8.00,-8.00
1709958600,-1.00,-1.00
1709959500,-1.00,-1.00
1709960400,0.00,0.00
1709961300,95.43,95.43
1709962200,95.43,95.43
1709963100,95.43,95.43
1709964000,95.43,95.43
1709964900,95.96,95.96
1709965800,95.96,95.96
1709966700,95.96,95.96
1709967600,95.96,95.96
1709968500,0.00,0.00
1709969400,107.57,107.57
1709970300,107.57,107.57
1709971200,107.57,107.57
1709972100,167.43,167.43
1709973000,167.43,167.43
1709973900,167.43,167.43
1709974800,167.43,167.43
1709975700,167.43,167.43
1709976600,167.43,167.43
1709977500,167.43,167.43
1709978400,167.43,167.43
1709979300,167.43,167.43
1709980200,167.43,167.43
1709981100,167.43,167.43
1709982000,167.43,167.43
1709982900,167.43,167.43
1709983800,167.43,167.43
1709984700,167.43,167.43
1709985600,167.43,167.43
1709986500,167.43,167.43
1709987400,167.43,167.43
1709988300,167.43,167.43
1709989200,167.43,167.43
1709990100,167.75,167.75
1709991000,167.75,167.75
1709991900,167.75,167.75
1709992800,167.75,167.75
1709993700,167.61,167.61
1709994600,167.61,167.61
1709995500,167.61,167.61
1709996400,167.61,167.61
1709997300,166.75,164.61
1709998200,166.75,164.61
1709999100,166.75,164.61
1710000000,166.75,164.61
1710000900,166.75,164.61
1710001800,166.75,164.61
1710002700,166.75,164.61
1710003600,165.97,164.61
1710004500,110.09,110.09
1710005400,110.09,110.09
1710006300,110.09,110.09
1710007200,110.09,110.09
1710008100,110.35,110.35
1710009000,110.35,110.35
1710009900,110.35,110.35
1710010800,110.35,110.35
1710011700,110.35,110.35
1710012600,110.35,110.35
1710013500,110.35,110.35
1710014400,110.35,110.35
1710015300,165.62,165.86
1710016200,165.62,165.86
1710017100,165.62,165.86
1710018000,165.37,165.86
1710018900,165.37,165.86
1710019800,165.37,165.86
1710020700,165.37,165.86
1710021600,165.71,165.86
1710022500,165.71,165.86
1710023400,165.71,165.86
1710024300,165.71,165.86
1710025200,165.71,165.86
1710026100,110.09,110.09
1710027000,110.09,110.09
1710027900,110.09,110.09
1710028800,110.09,110.09
1710029700,91.64,91.64
1710030600,91.64,91.64
1710031500,0.00,0.00
1710032400,-8.00,-8.00
1710033300,-77.94,-77.94
1710034200,-77.94,-77.94
1710035100,-77.94,-77.94
1710036000,-77.94,-77.94
1710036900,0.00,0.00
1710037800,0.00,0.00
1710038700,0.00,0.00
1710039600,0.00,0.00
1710040500,-8.00,-8.00
1710041400,-8.00,-8.00
1710042300,-8.00,-8.00
1710043200,-4.00,-4.00
1710044100,6.93,6.93
1710045000,6.93,6.93
1710045900,6.93,6.93
1710046800,6.93,6.93
1710047700,82.66,82.66
1710048600,82.66,82.66
1710049500,82.66,82.66
1710050400,82.66,82.66
1710051300,91.50,91.50
1710052200,0.00,0.00
1710053100,0.00,0.00
1710054000,91.50,91.50
1710054900,93.74,93.74
1710055800,-2.00,-2.00
1710056700,-9.00,-9.00
1710057600,93.74,93.74
1710058500,106.51,106.51
1710059400,106.51,106.51
1710060300,106.51,106.51
1710061200,106.51,106.51
1710062100,169.34,169.34
1710063000,169.34,169.34
1710063900,169.34,169.34
1710064800,169.34,169.34
1710065700,169.34,169.34
1710066600,169.34,169.34
1710067500,169.34,169.34
1710068400,169.34,169.34
1710069300,169.34,169.34
1710070200,169.34,169.34
1710071100,169.34,169.34
1710072000,169.34,169.34
1710072900,169.34,169.34
1710073800,169.34,169.34
1710074700,169.34,169.34
1710075600,169.34,169.34
1710076500,169.34,169.34
1710077400,169.34,169.34
1710078300,169.34,169.34
1710079200,169.34,169.34
1710080100,169.34,169.34
1710081000,169.34,169.34
1710081900,169.34,169.34
1710082800,169.34,169.34
1710083700,108.05,108.05
1710084600,108.05,108.05
1710085500,108.05,108.05
1710086400,108.05,108.05
1710087300,83.44,83.44
1710088200,83.44,83.44
1710089100,83.44,83.44
1710090000,83.44,83.44
1710090900,84.24,84.24
1710091800,84.24,84.24
1710092700,84.24,84.24
1710093600,84.24,84.24
1710094500,84.24,84.24
1710095400,84.24,84.24
1710096300,84.24,84.24
1710097200,84.24,84.24
1710098100,84.24,84.24
1710099000,84.24,84.24
1710099900,84.24,84.24
1710100800,84.24,84.24
1710101700,84.24,84.24
1710102600,84.24,84.24
1710103500,84.24,84.24
1710104400,84.24,84.24
1710105300,108.05,108.05
1710106200,108.05,108.05
1710107100,108.05,108.05
1710108000,108.05,108.05
1710108900,108.69,108.69
1710109800,108.69,108.69
1710110700,108.69,108.69
1710111600,108.69,108.69
1710112500,182.24,182.14
1710113400,182.24,182.14
1710114300,180.65,180.77
1710115200,0.00,0.00
1710116100,-1.00,-1.00
1710117000,-1.00,-1.00
1710117900,-77.94,-77.94
1710118800,0.00,0.00
1710119700,0.00,0.00
1710120600,0.00,0.00
1710121500,0.00,0.00
1710122400,0.00,0.00
1710123300,135.98,135.98
1710124200,168.30,168.30
1710125100,168.30,168.30
1710126000,168.86,168.30
1710126900,168.86,168.30
1710127800,168.86,168.30
1710128700,168.86,168.30
1710129600,168.84,168.30
1710130500,168.84,168.30
1710131400,168.84,168.30
1710132300,168.84,168.30
1710133200,168.84,168.30
1710134100,170.27,169.72
1710135000,170.27,169.72
1710135900,170.27,169.72
1710136800,170.27,169.72
1710137700,170.27,169.72
1710138600,170.27,169.72
1710139500,170.27,169.72
1710140400,170.27,169.72
1710141300,170.27,169.72
1710142200,170.27,169.72
1710143100,170.27,169.72
1710144000,170.27,169.72
1710144900,170.27,169.72
1710145800,170.27,169.72
1710146700,170.27,169.72
1710147600,170.32,169.72
1710148500,170.32,169.72
1710149400,170.32,169.72
1710150300,170.32,169.72
1710151200,170.27,169.72
1710152100,170.27,169.72
1710153000,170.27,169.72
1710153900,170.27,169.72
1710154800,170.33,169.72
1710155700,170.51,169.90
1710156600,170.51,169.90
1710157500,170.51,169.90
1710158400,169.90,169.90
1710159300,169.90,169.90
1710160200,169.90,169.90
1710161100,169.90,169.90
1710162000,169.90,169.90
1710162900,169.90,169.90
1710163800,169.90,169.90
1710164700,169.90,169.90
1710165600,169.90,169.90
1710166500,169.90,169.90
1710167400,169.90,169.90
1710168300,169.90,169.90
1710169200,169.90,169.90
1710170100,170.23,167.49
1710171000,167.05,167.49
1710171900,167.05,167.49
1710172800,148.87,148.87
